iso3a,iso3b,year,exportsallgoodatob_alldata,importsallgoodafromb_alldata,totaltradeawithb,totaltradeabgdpb,tradeagreementindex,norm_allianceindex,securitybandwidth,securitydependence,maritime_connectivity,sentiment_index,bec_1_prop,bec_2_prop,bec_3_prop,bec_4_prop,bec_5_prop,bec_6_prop,bec_7_prop,bec_8_prop,IdealPointDistance
AUS,CHN,2006,16785321984.0,15261358080.0,32046680064.0,0.68589926,0.0,0.18332878,0.015888494,0.0,0.4,0.7036084152925197,0.0317595979613492,0.2802970431994066,0.1883273615628628,0.1610728393732886,0.0561378560573699,0.1055875728213103,0.0354951923187601,0.1413225367056526,2.4778719
AUS,CHN,2007,21672579072.0,19437355008.0,41109934080.0,0.77026522,0.0,0.18332878,0.02383274,0.0,0.4,0.6976511878778289,0.0339882002545765,0.284446881369357,0.1990644328130641,0.1492817135403377,0.0644629277970274,0.133666658806926,0.0449792521429175,0.0901099332757937,2.0254329
AUS,CHN,2008,28150855680.0,23133890560.0,51284746240.0,0.8763361,0.0,0.18332878,0.02383274,0.0,0.4,0.675060611380251,0.034706270142397,0.3711320755017709,0.1774297325907879,0.1181330629514592,0.0544027910187439,0.117769290043117,0.0389988887465886,0.0874278890051354,2.1036329
AUS,CHN,2009,35174150144.0,21697044480.0,56871194624.0,0.8883062,0.0,0.18332878,0.02383274,0.0,0.4,0.6761726450509314,0.0309378267797988,0.4337634137979328,0.1585047742335093,0.1017561370712146,0.0547573801873852,0.1045806285443626,0.0367029118111286,0.0789969275746681,1.9021896
AUS,CHN,2010,54704295936.0,28044486656.0,82748784640.0,1.16825,0.0,0.18332878,0.02383274,0.0,0.4,0.6675017595805967,0.0286988949746237,0.5033594658715589,0.1362448728183001,0.0921631360751513,0.0402908510594587,0.0927697686200468,0.0313733494559711,0.0750996611248893,2.1731399
AUS,CHN,2011,74148970496.0,33906491392.0,108055461888.0,1.3925319,0.0,0.18332878,0.02383274,0.0,0.4,0.6911558055552279,0.0264055011203385,0.5283048026746251,0.1199919591708439,0.1009558469556309,0.0410580003126016,0.0827726932195906,0.0272637676921637,0.0732474288542057,2.0300086
AUS,CHN,2012,74478600192.0,37006295040.0,111484895232.0,1.3319839,0.0,0.18332878,0.02383274,0.0,0.4,0.6604720345702892,0.0399686545656908,0.4836674296393553,0.1236552767930252,0.1390898286923991,0.0462395259096092,0.0809644783809403,0.0320037158041746,0.0544110902148053,2.1792544
AUS,CHN,2013,88694341632.0,36429225984.0,125123567616.0,1.3872025,0.0,0.18332878,0.02383274,0.0,0.4,0.5527828962387519,0.0458110956902947,0.5165678396027116,0.1190653920376606,0.1367749965065798,0.0402500502442578,0.0700658302962498,0.0262790980645473,0.0451856975576984,1.8676008
AUS,CHN,2014,77003948032.0,37165879296.0,114169831424.0,1.1782677,0.0,0.18332878,0.02383274,0.0,0.4,0.5510193700539776,0.0455461195399342,0.5035556283621119,0.1286509163630807,0.1279080852178244,0.0386869546891947,0.0760406713944626,0.0271357269174857,0.0524758975159059,2.2597752
AUS,CHN,2015,57735581696.0,38361305088.0,96096886784.0,0.92650598,4.0,0.18332878,0.02383274,0.0,0.4,0.451671659118836,0.0679476894329674,0.3957664451324622,0.1571822149193187,0.1524444687599195,0.0422796554699524,0.0867466866408136,0.0355373620340795,0.0620954776104867,1.4598457
