Year,Country,Exports,Imports,Export Share,Import Share,Trade Balance,Total Trade,IdealPointAll,Absolute_ideal_point_distance
2022,Tuvalu,0.07,0.0,0.01,0.0,0.07,0.07,-0.06501342,0.23328878000000003
2022,Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,-0.5428892,0.24458699999999994
2022,Samoa,0.11,0.0,0.02,0.0,0.11,0.11,0.04732427,0.34562647
2022,Chad,0.0,0.0,0.0,0.0,0.0,0.0,-0.3575812,0.05927899999999997
2022,Antigua & Barbuda,0.13,0.0,0.02,0.0,0.13,0.13,-0.4448358,0.14653359999999999
2022,Kiribati,0.01,0.0,0.0,0.0,0.01,0.01,-0.06778919,0.23051301000000002
2022,St. Vincent & Grenadines,0.01,0.0,0.0,0.0,0.01,0.01,-0.4707413,0.17243909999999996
2022,Syria,0.0,0.0,0.0,0.0,0.0,0.0,-2.079845,1.7815428000000002
2022,Solomon Islands,0.11,0.0,0.02,0.0,0.11,0.11,-0.3830223,0.08472009999999996
2022,Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,-0.1984804,0.09982180000000002
2022,Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,-0.6744728,0.37617059999999997
2022,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,-0.5558755,0.25757329999999995
2022,Vanuatu,0.06,0.0,0.01,0.0,0.06,0.06,-0.2047697,0.09353250000000002
2022,Somalia,0.01,0.0,0.0,0.0,0.01,0.01,-0.6538415,0.35553929999999995
2022,Tonga,0.0,0.0,0.0,0.0,0.0,0.0,-0.1081023,0.19019990000000003
2022,Eritrea,0.0,0.0,0.0,0.0,-0.0,0.0,-0.952691,0.6543888
2022,Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,-0.7715232,0.47322099999999995
2022,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,-0.5073295,0.20902729999999997
2022,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,-0.5592852,0.260983
