Time Period,Reporter,Partner,Sector Group,Export Value,Import Value,Total Trade Volume
2026a,China,Malaysia,Sector_1,748.36,919.2,1667.56
2026b,China,Malaysia,Sector_1,850.1,847.66,1697.76
2026a,China,Malaysia,Sector_2,372.38,741.26,1113.6399999999999
2026b,China,Malaysia,Sector_2,347.05,927.8,1274.85
2026a,China,Malaysia,Sector_3,777.34,831.38,1608.72
2026b,China,Malaysia,Sector_3,917.8,1001.79,1919.59
2026a,China,Malaysia,Sector_4,560.06,914.93,1474.9899999999998
2026b,China,Malaysia,Sector_4,724.16,1135.76,1859.92
2026a,China,Malaysia,Sector_5,994.39,420.22,1414.6100000000001
2026b,China,Malaysia,Sector_5,816.72,420.33,1237.05
2026a,China,Malaysia,Sector_6,711.7,448.16,1159.8600000000001
2026b,China,Malaysia,Sector_6,771.72,484.77,1256.49
2026a,China,Malaysia,Sector_7,910.15,705.84,1615.99
2026b,China,Malaysia,Sector_7,710.18,818.58,1528.76
2026a,China,Malaysia,Sector_8,445.21,304.9,750.1099999999999
2026b,China,Malaysia,Sector_8,368.77,297.39,666.16
2026a,China,United States,Sector_1,546.18,934.87,1481.05
2026b,China,United States,Sector_1,648.91,695.03,1343.94
2026a,China,United States,Sector_2,520.5,825.31,1345.81
2026b,China,United States,Sector_2,453.1,807.18,1260.28
2026a,China,United States,Sector_3,812.34,938.6,1750.94
2026b,China,United States,Sector_3,882.18,1066.44,1948.62
2026a,China,United States,Sector_4,210.7,688.23,898.9300000000001
2026b,China,United States,Sector_4,151.47,831.16,982.63
2026a,China,United States,Sector_5,824.25,390.54,1214.79
2026b,China,United States,Sector_5,689.6,459.61,1149.21
2026a,China,United States,Sector_6,471.66,544.29,1015.95
2026b,China,United States,Sector_6,371.1,478.51,849.61
2026a,China,United States,Sector_7,443.0,683.12,1126.12
2026b,China,United States,Sector_7,382.26,579.24,961.5
2026a,China,United States,Sector_8,915.71,377.89,1293.6
2026b,China,United States,Sector_8,788.78,423.83,1212.61
2026a,China,"Hong Kong, China",Sector_1,845.81,879.04,1724.85
2026b,China,"Hong Kong, China",Sector_1,634.86,1041.98,1676.8400000000001
2026a,China,"Hong Kong, China",Sector_2,400.7,667.54,1068.24
2026b,China,"Hong Kong, China",Sector_2,402.28,754.7,1156.98
2026a,China,"Hong Kong, China",Sector_3,685.28,431.94,1117.22
2026b,China,"Hong Kong, China",Sector_3,665.31,476.13,1141.44
2026a,China,"Hong Kong, China",Sector_4,765.84,853.86,1619.7
2026b,China,"Hong Kong, China",Sector_4,756.62,982.81,1739.4299999999998
2026a,China,"Hong Kong, China",Sector_5,944.26,754.3,1698.56
2026b,China,"Hong Kong, China",Sector_5,1219.18,823.2,2042.38
2026a,China,"Hong Kong, China",Sector_6,390.88,254.67,645.55
2026b,China,"Hong Kong, China",Sector_6,492.86,258.48,751.34
2026a,China,"Hong Kong, China",Sector_7,977.05,544.55,1521.6
2026b,China,"Hong Kong, China",Sector_7,779.55,618.68,1398.23
2026a,China,"Hong Kong, China",Sector_8,894.84,850.76,1745.6
2026b,China,"Hong Kong, China",Sector_8,626.45,777.81,1404.26
2026a,China,Indonesia,Sector_1,816.84,779.27,1596.1100000000001
2026b,China,Indonesia,Sector_1,661.34,953.92,1615.26
2026a,China,Indonesia,Sector_2,248.4,487.81,736.21
