"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
582644643,20160926,201609,2016,2016.7288,"AUS","AUSTRALIA","AUS",NA,NA,NA,NA,NA,NA,NA,"USA","THE US","USA",NA,NA,NA,NA,NA,NA,NA,1,"161","161","16",4,-4,2,1,2,1.07991360691145,1,"Australia","AS","AS",-27,133,NA,4,"London, London, City of, United Kingdom","UK","UKH9",51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom","UK","UKH9",51.5,-0.116667,-2601889,20160926,"https://www.theguardian.com/music/2016/feb/08/jimi-hendrix-museum-former-london-flat-open-wednesday"
582644644,20160926,201609,2016,2016.7288,"AUS","AUSTRALIA","AUS",NA,NA,NA,NA,NA,NA,NA,"USA","THE US","USA",NA,NA,NA,NA,NA,NA,NA,1,"161","161","16",4,-4,2,1,2,1.07991360691145,1,"Australia","AS","AS",-27,133,NA,1,"Australia","AS","AS",-27,133,NA,1,"Australia","AS","AS",-27,133,NA,20160926,"https://www.theguardian.com/music/2016/feb/08/jimi-hendrix-museum-former-london-flat-open-wednesday"
582644651,20160926,201609,2016,2016.7288,"AUSEDU","AUSTRALIA","AUS",NA,NA,NA,NA,"EDU",NA,NA,"AUS","MELBOURNE","AUS",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,2,1,2,-5.95238095238095,4,"Melbourne, Victoria, Australia","AS","AS07",-37.8167,144.967,-1586844,4,"Melbourne, Victoria, Australia","AS","AS07",-37.8167,144.967,-1586844,4,"Melbourne, Victoria, Australia","AS","AS07",-37.8167,144.967,-1586844,20160926,"http://www.9news.com.au/national/2016/09/26/08/17/suspected-arson-fire-at-melbourne-school"
582646083,20160926,201609,2016,2016.7288,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,"USAGOV","OBAMA","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"129","129","12",3,-5,10,1,10,-9.48905109489055,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,20160926,"http://contacto-latino.com/en/news/201403/106052294/obama-vetoes-bill-to-allow-sept-11-victims-to-sue-saudi-government-npr/"
582646084,20160926,201609,2016,2016.7288,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,"USAGOV","OBAMA","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"130","130","13",3,-4.4,10,1,10,-9.48905109489055,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,20160926,"http://contacto-latino.com/en/news/201403/106052294/obama-vetoes-bill-to-allow-sept-11-victims-to-sue-saudi-government-npr/"
582646085,20160926,201609,2016,2016.7288,"MNCUSAMED","GOOGLE","USA",NA,NA,NA,NA,"MNC","MED",NA,"USAGOV","OBAMA","USA",NA,NA,NA,NA,"GOV",NA,NA,1,"131","131","13",3,-5.8,10,1,10,-9.48905109489055,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,1,"Saudi Arabia","SA","SA",25,45,NA,20160926,"http://contacto-latino.com/en/news/201403/106052294/obama-vetoes-bill-to-allow-sept-11-victims-to-sue-saudi-government-npr/"
582646441,20160926,201609,2016,2016.7288,"SGP","SINGAPOREAN","SGP",NA,NA,NA,NA,NA,NA,NA,"MYS","MALAYSIA","MYS",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,60,1,60,-7.90574097811847,1,"Singapore","SN","SN",1.3667,103.8,NA,1,"Malaysia","MY","MY",2.5,112.5,NA,1,"Malaysia","MY","MY",2.5,112.5,NA,20160926,"http://forums.asiaone.com/showthread.php?s=cd83b596f18c0b206c74dfacee0f259a&p=1899639"
582646442,20160926,201609,2016,2016.7288,"SGP","SINGAPOREAN","SGP",NA,NA,NA,NA,NA,NA,NA,"MYS","MALAYSIA","MYS",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,90,1,90,-7.90574097811847,1,"Singapore","SN","SN",1.3667,103.8,NA,1,"Malaysia","MY","MY",2.5,112.5,NA,1,"Singapore","SN","SN",1.3667,103.8,NA,20160926,"http://forums.asiaone.com/showthread.php?s=cd83b596f18c0b206c74dfacee0f259a&p=1899639"
582647025,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"MNCUSA","STARBUCKS","USA",NA,NA,NA,NA,"MNC",NA,NA,1,"160","160","16",4,-4,200,48,200,-10.1013670637814,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,20160926,"http://www.mysanantonio.com/news/crime/article/1-hurt-1-detained-in-shooting-near-Las-Vegas-9283681.php"
582647029,20160926,201609,2016,2016.7288,"USA","LAS VEGAS","USA",NA,NA,NA,NA,NA,NA,NA,"MNCUSA","STARBUCKS","USA",NA,NA,NA,NA,"MNC",NA,NA,1,"193","193","19",4,-10,328,37,320,-7.51443163484273,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,20160926,"http://wwmt.com/news/nation-world/metro-investigating-shooting-at-starbucks-in-7200-block-of-s-rainbow"
582647030,20160926,201609,2016,2016.7288,"USA","LAS VEGAS","USA",NA,NA,NA,NA,NA,NA,NA,"MNCUSA","STARBUCKS","USA",NA,NA,NA,NA,"MNC",NA,NA,1,"193","193","19",4,-10,2,1,2,-6.66666666666667,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,3,"Warm Springs, Nevada, United States","US","USNV",38.1905,-116.37,856168,3,"Las Vegas, Nevada, United States","US","USNV",36.175,-115.137,847388,20160926,"http://kdwn.com/2016/09/25/las-vegas-police-investigating-shooting-possible-bomb-at-las-vegas-starbucks/"
582647112,20160926,201609,2016,2016.7288,"USA","AMERICAN","USA",NA,NA,NA,NA,NA,NA,NA,"USAHLH","UNITED STATES","USA",NA,NA,NA,NA,"HLH",NA,NA,1,"130","130","13",3,-4.4,12,3,12,-2.28269368256113,3,"Rensselaer Polytechnic Institute, New York, United States","US","USNY",42.7326,-73.681,962386,3,"Rensselaer Polytechnic Institute, New York, United States","US","USNY",42.7326,-73.681,962386,3,"Rensselaer Polytechnic Institute, New York, United States","US","USNY",42.7326,-73.681,962386,20160926,"http://www.heraldnet.com/news/cities-take-a-second-look-at-led-streetlights/"
582647121,20160926,201609,2016,2016.7288,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,"VNM","VIETNAM","VNM",NA,NA,NA,NA,NA,NA,NA,1,"111","111","11",3,-2,1,1,1,-0.56497175141243,3,"Phoenix, Arizona, United States","US","USAZ",33.4484,-112.074,44784,3,"Phoenix, Arizona, United States","US","USAZ",33.4484,-112.074,44784,3,"Phoenix, Arizona, United States","US","USAZ",33.4484,-112.074,44784,20160926,"http://www.watertowndailytimes.com/national/the-battle-for-arizona-clinton-trump-in-surprisingly-tight-race-20160925"
