iso3a,iso3b,year,exportsallgoodatob_alldata,importsallgoodafromb_alldata,totaltradeawithb,totaltradeabgdpb,fbic,bandwidth,dependence,norm_lor_avg,tradeagreementindex,norm_allianceindex,securitybandwidth,securitydependence,maritime_connectivity
AUS,CHN,1999,3549922048.0,3650609152.0,7200530944.0,0.3007561,0.024828183,0.173724,0.083176732,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2000,4719072256.0,4555301888.0,9274374144.0,0.35706267,0.024645222,0.17562249,0.081671275,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2001,4958257664.0,4538427392.0,9496685568.0,0.33748931,0.026408145,0.17823462,0.086230829,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2002,5660139008.0,5736531456.0,11396670464.0,0.37111425,0.027762244,0.18099159,0.089271508,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2003,7233809920.0,7643791872.0,14877601792.0,0.44027039,0.029006844,0.1839717,0.091762699,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2004,9455904768.0,10519300096.0,19975204864.0,0.53683031,0.03058386,0.1876827,0.094838522,1.0,0,0.0,0.0,0.0,0.4
AUS,CHN,2005,13886301184.0,12725227520.0,26611529728.0,0.64202416,0.033260159,0.19389042,0.099835433,1.0,0,0.18332878,0.0079442468,0.0,0.4
AUS,CHN,2006,16785321984.0,15261358080.0,32046680064.0,0.68589926,0.035997614,0.19979469,0.10485919,1.0,0,0.18332878,0.015888494,0.0,0.4
AUS,CHN,2007,21672579072.0,19437355008.0,41109934080.0,0.77026522,0.039610602,0.20524715,0.11231843,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2008,28150855680.0,23133890560.0,51284746240.0,0.8763361,0.042096127,0.20825057,0.11764479,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2009,35174150144.0,21697044480.0,56871194624.0,0.8883062,0.044580083,0.21063942,0.12317369,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2010,54704295936.0,28044486656.0,82748784640.0,1.16825,0.048523728,0.21400778,0.13195971,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2011,74148970496.0,33906491392.0,108055461888.0,1.3925319,0.054181077,0.2181315,0.14455928,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2012,74478600192.0,37006295040.0,111484895232.0,1.3319839,0.05841079,0.22199127,0.15313481,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2013,88694341632.0,36429225984.0,125123567616.0,1.3872025,0.058842052,0.22446997,0.15256196,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2014,77003948032.0,37165879296.0,114169831424.0,1.1782677,0.056368526,0.22500721,0.14579982,1.0,0,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2015,57735581696.0,38361305088.0,96096886784.0,0.92650598,0.053649072,0.236194,0.13219349,1.0,4,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2016,55946387456.0,35777515520.0,91723898880.0,0.82766569,0.050773006,0.24704106,0.11961357,1.0,4,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2017,70552436736.0,38365216768.0,108917653504.0,0.91896969,0.050382089,0.25912675,0.1131568,1.0,4,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2018,78264147968.0,42882150400.0,121146294272.0,0.95751506,0.05002676,0.26150924,0.11133508,1.0,4,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2019,91647549440.0,42331164672.0,133978710016.0,0.99946827,0.051475622,0.26480389,0.11313422,1.0,4,0.18332878,0.02383274,0.0,0.4
