iso3a,iso3b,year,exportsallgoodatob_alldata,importsallgoodafromb_alldata,totaltradeawithb,totaltradeabgdpb,fbic,dependence,tradeagreementindex,maritime_connectivity,sentiment_index
AUS,CHN,2006,16785321984.0,15261358080.0,32046680064.0,0.68589926,0.035997614,0.10485919,0,0.4,0.7036084153571494
AUS,CHN,2007,21672579072.0,19437355008.0,41109934080.0,0.77026522,0.039610602,0.11231843,0,0.4,0.6976511879617343
AUS,CHN,2008,28150855680.0,23133890560.0,51284746240.0,0.8763361,0.042096127,0.11764479,0,0.4,0.6750606114744825
AUS,CHN,2009,35174150144.0,21697044480.0,56871194624.0,0.8883062,0.044580083,0.12317369,0,0.4,0.6761726451366501
AUS,CHN,2010,54704295936.0,28044486656.0,82748784640.0,1.16825,0.048523728,0.13195971,0,0.4,0.6675017596465672
AUS,CHN,2011,74148970496.0,33906491392.0,108055461888.0,1.3925319,0.054181077,0.14455928,0,0.4,0.6911558056454499
AUS,CHN,2012,74478600192.0,37006295040.0,111484895232.0,1.3319839,0.05841079,0.15313481,0,0.4,0.6604720346541324
AUS,CHN,2013,88694341632.0,36429225984.0,125123567616.0,1.3872025,0.058842052,0.15256196,0,0.4,0.5527828962989054
AUS,CHN,2014,77003948032.0,37165879296.0,114169831424.0,1.1782677,0.056368526,0.14579982,0,0.4,0.5510193701058133
AUS,CHN,2015,57735581696.0,38361305088.0,96096886784.0,0.92650598,0.053649072,0.13219349,4,0.4,0.451671659168428
AUS,CHN,2016,55946387456.0,35777515520.0,91723898880.0,0.82766569,0.050773006,0.11961357,4,0.4,0.4238856191283249
AUS,CHN,2017,70552436736.0,38365216768.0,108917653504.0,0.91896969,0.050382089,0.1131568,4,0.4,0.4263370660653762
AUS,CHN,2018,78264147968.0,42882150400.0,121146294272.0,0.95751506,0.05002676,0.11133508,4,0.4,0.4039406869197078
AUS,CHN,2019,91647549440.0,42331164672.0,133978710016.0,0.99946827,0.051475622,0.11313422,4,0.4,0.3713335456551643
AUS,CHN,2020,87471849472.0,46552961024.0,134024814592.0,0.97790956,0.049232453,0.10693388,4,0.4,0.3185644910155923
AUS,CHN,2021,107711471616.0,55179345920.0,162890809344.0,1.0830621,0.051705513,0.10639908,4,0.4,0.3353717400722485
AUS,CHN,2022,93285892096.0,60817227776.0,154103119872.0,0.99487633,0.054540683,0.10746874,4,0.4,0.3664607642282501
AUS,CHN,2023,101050384384.0,56474783744.0,155804925952.0,0.96507788,0.057390973,0.10916709,4,0.4,0.393764689717212
AUS,FRA,2006,1033786176.0,3073843712.0,4107629824.0,0.19219871,0.015027422,0.025829528,0,0.3,0.6888917895711076
AUS,FRA,2007,1302535936.0,3445268992.0,4747805184.0,0.21689352,0.015082482,0.025250277,0,0.3,0.6385563926476332
AUS,FRA,2008,1476612992.0,5094236160.0,6570848768.0,0.29941234,0.016820265,0.027430533,0,0.3,0.6682489665437058
AUS,FRA,2009,1006192448.0,3697063680.0,4703256064.0,0.22065221,0.017902097,0.028672233,0,0.3,0.6522054713912333
AUS,FRA,2010,1131483904.0,4632241152.0,5763725312.0,0.26523283,0.019428296,0.030607194,0,0.3,0.6830397172329294
AUS,FRA,2011,1234041472.0,5452865024.0,6686906368.0,0.30111384,0.019840632,0.030896971,0,0.3,0.6796689951240614
AUS,FRA,2012,1097763968.0,3909266176.0,5007030272.0,0.22476423,0.019945135,0.030816317,0,0.3,0.6674595456456794
AUS,FRA,2013,1191755520.0,3698981632.0,4890737152.0,0.21828604,0.018978344,0.029165648,0,0.3,0.5617725584219669
AUS,FRA,2014,974861632.0,3426849280.0,4401711104.0,0.19459867,0.016911622,0.025945634,0,0.3,0.543346414400237
AUS,FRA,2015,812765760.0,2604722688.0,3417488384.0,0.14942329,0.01556596,0.023778131,0,0.3,0.388622509848349
AUS,FRA,2016,1279673856.0,2405661952.0,3685335808.0,0.15938839,0.014685373,0.022302004,0,0.3,0.3945626610113666
AUS,FRA,2017,918028928.0,2739024896.0,3657053952.0,0.15462245,0.014051747,0.021261193,0,0.3,0.4224909269977976
AUS,FRA,2018,1078367616.0,2845397760.0,3923765248.0,0.16286135,0.014321259,0.021649018,0,0.3,0.4281769452954536
AUS,FRA,2019,954193600.0,2675876608.0,3630070016.0,0.14794479,0.013893171,0.02114732,0,0.3,0.3796911798863893
AUS,FRA,2020,1127456512.0,2742439168.0,3869895680.0,0.17116386,0.014374278,0.022120249,0,0.3,0.4162291313232797
AUS,FRA,2021,1174938368.0,2957991936.0,4132930304.0,0.16898911,0.014394496,0.022534151,0,0.3,0.4011150646260765
AUS,FRA,2022,1668001536.0,2714350592.0,4382351872.0,0.17471135,0.014757098,0.023596717,0,0.3,0.4220004607080986
AUS,FRA,2023,1221217536.0,2932251648.0,4108107264.0,0.16447763,0.014104716,0.023249397,0,0.3,0.4495869039611948
AUS,DEU,2006,1194023424.0,7623862272.0,8817886208.0,0.31107047,0.022664005,0.031493787,0,0.3,0.6581247750762543
AUS,DEU,2007,1281141504.0,8579831296.0,9860972544.0,0.33781317,0.023006409,0.031928252,0,0.3,0.6642167607947564
AUS,DEU,2008,1756061184.0,10045863936.0,11801925632.0,0.40046063,0.024185184,0.033704437,0,0.3,0.6334062509873954
AUS,DEU,2009,1316661120.0,9225886720.0,10542546944.0,0.3793259,0.025357166,0.035762269,0,0.3,0.6513127713338578
AUS,DEU,2010,1779057280.0,10671319040.0,12450376704.0,0.42999786,0.026988648,0.038481284,0,0.3,0.6664372996991967
AUS,DEU,2011,2388944384.0,11588124672.0,13977068544.0,0.46449268,0.027887454,0.040264424,0,0.3,0.6535586294328448
AUS,DEU,2012,2015054592.0,11741658112.0,13756712960.0,0.45526451,0.028601527,0.041919272,0,0.3,0.6528763604670557
AUS,DEU,2013,1805652864.0,11062920192.0,12868573184.0,0.42401719,0.027742755,0.041668925,0,0.3,0.5422653164158917
AUS,DEU,2014,1449020928.0,9936719872.0,11385740288.0,0.36704764,0.025401169,0.039463315,0,0.3,0.5381923774671113
AUS,DEU,2015,1336834944.0,8974290944.0,10311126016.0,0.32751811,0.022619778,0.036553759,0,0.3,0.4177812625295389
AUS,DEU,2016,3035737088.0,9440829440.0,12476566528.0,0.38765597,0.021808218,0.036366012,0,0.3,0.3880388436466617
AUS,DEU,2017,1665910144.0,9989939200.0,11655848960.0,0.35270223,0.02144072,0.036489312,0,0.3,0.4150091292720086
AUS,DEU,2018,1808826752.0,10731890688.0,12540717056.0,0.37540177,0.022092123,0.037584104,0,0.3,0.4132246309002155
AUS,DEU,2019,1835458816.0,9203192832.0,11038651392.0,0.32698616,0.021172594,0.035734657,0,0.3,0.4086567113219466
AUS,DEU,2020,2256594944.0,8466757120.0,10723352576.0,0.33285651,0.021241842,0.03534545,0,0.3,0.3680071257294026
AUS,DEU,2021,2219248384.0,9772646400.0,11991894016.0,0.35555226,0.021163931,0.034766365,0,0.3,0.4096620504198348
AUS,DEU,2022,2786879232.0,9552482304.0,12339361792.0,0.3594386,0.021919491,0.03553253,0,0.3,0.4312918399086781
AUS,DEU,2023,1723195008.0,9435426816.0,11036637184.0,0.32410136,0.021773964,0.035216723,0,0.3,0.425323276553754
AUS,HKG,2006,2617938944.0,4148586240.0,6766524928.0,3.0541737,0.026501773,0.12155783,0,0.3,0.7036084153571494
AUS,HKG,2007,2554134016.0,4802072576.0,7356206592.0,3.1187179,0.026450217,0.12066025,0,0.3,0.6976511879617343
AUS,HKG,2008,2665492480.0,5218978816.0,7884471296.0,3.273031,0.026932623,0.1220799,0,0.3,0.6750606114744825
AUS,HKG,2009,2387223296.0,4926486528.0,7313709568.0,3.1126416,0.027190214,0.12307642,0,0.3,0.6761726451366501
AUS,HKG,2010,3018490880.0,5050198528.0,8068689408.0,3.2162879,0.027340876,0.12346588,0,0.3,0.6675017596465672
AUS,HKG,2011,3147724032.0,5342665728.0,8490390016.0,3.2289174,0.027192831,0.1224227,0,0.3,0.6911558056454499
AUS,HKG,2012,2646982912.0,4970224128.0,7617207296.0,2.8484139,0.026486913,0.1189727,0,0.3,0.6604720346541324
AUS,HKG,2013,2438375168.0,4652502016.0,7090876928.0,2.5718257,0.025105331,0.1131973,0,0.3,0.5527828962989054
AUS,HKG,2014,2413576448.0,4219673344.0,6633249792.0,2.3411796,0.023278182,0.10586951,0,0.3,0.5510193701058133
AUS,HKG,2015,2282863872.0,4500324352.0,6783187968.0,2.3382604,0.022285176,0.10174947,0,0.3,0.451671659168428
AUS,HKG,2016,4192646144.0,4226594304.0,8419240448.0,2.8404429,0.023293423,0.10535993,0,0.3,0.4238856191283249
AUS,HKG,2017,8464837632.0,4234409216.0,12699246592.0,4.1277184,0.027289819,0.12021458,0,0.3,0.4263370660653762
AUS,HKG,2018,7061842944.0,4160560384.0,11222403072.0,3.5467196,0.029939853,0.1292095,0,0.3,0.4039406869197078
AUS,HKG,2019,4669017088.0,3663470080.0,8332486656.0,2.6783392,0.029876936,0.12835164,0,0.3,0.3713335456551643
AUS,HKG,2020,4056537088.0,3835492608.0,7892029440.0,2.7130136,0.029539766,0.11829104,4,0.3,0.3185644910155923
AUS,HKG,2021,5632490496.0,3924596224.0,9557087232.0,3.0516288,0.030701764,0.11409959,4,0.3,0.3353717400722485
AUS,HKG,2022,4003228928.0,3319936512.0,7323165696.0,2.4225457,0.032173913,0.11188295,4,0.3,0.3664607642282501
AUS,HKG,2023,4855284224.0,2625764352.0,7399352320.0,2.3984389,0.031588469,0.11007925,4,0.3,0.393764689717212
AUS,IND,2006,7547537920.0,1006780800.0,8554318848.0,0.77148968,0.053365119,0.11328743,0,0.3,0.6796147067437701
AUS,IND,2007,8396332544.0,1181233920.0,9577566208.0,0.80230457,0.053621069,0.10826896,0,0.3,0.6704421472307116
AUS,IND,2008,11739591680.0,1509556864.0,13249147904.0,1.0766436,0.057765055,0.11015793,0,0.3,0.6543925064884494
AUS,IND,2009,12119910400.0,1381089536.0,13500999680.0,1.0171363,0.066304997,0.12078669,0,0.3,0.6536085981696493
AUS,IND,2010,15480244224.0,1702420992.0,17182664704.0,1.1931208,0.073910534,0.13029583,0,0.3,0.661638108245887
AUS,IND,2011,15776183296.0,2087964160.0,17864146944.0,1.1786648,0.078938931,0.13607977,0,0.3,0.6760179308188412
