NTM_CODE,NTM_DESCRIPTION,COUNTRY_IMPOSING,IMPLEMENTATION_DATE,COUNTRY_AFFECTED,IS_UNILATERAL,REPEAL_DATE
B15,Authorization requirement for importers,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B49,"Production or post-production requirements, n.e.s.",Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B82,Testing requirement,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B84,Inspection requirement,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
B853,Distribution and location of products after delivery,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
C4,"Import-monitoring, surveillance and automatic licensing measures",Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
E113,Licensing linked with local production,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
E119,"Licensing for economic reasons, n.e.s.",Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
E211,Global allocation,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
E69,E69 Other TRQs n.e.s.,Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
E69,E69 Other TRQs n.e.s.,Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
F65,Import licence fee,Algeria,2020-08-01T00:00:00,World [Valid From: 01 Aug 2020],True,9999-12-31T00:00:00
J1,Restrictions on the sale of goods,Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P22,Export monitoring and surveillance requirements,Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P29,Export formalities n.e.s.,Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P29,Export formalities n.e.s.,Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P33,"Licensing, permit or registration requirements to export",Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
P49,"Export price-control measures, taxes and charges n.e.s.",Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
A82,Testing requirement,Algeria,2020-06-01T00:00:00,World [Valid From: 01 Jun 2020],True,9999-12-31T00:00:00
B82,Testing requirement,Algeria,2020-03-01T00:00:00,World [Valid From: 01 Mar 2020],True,9999-12-31T00:00:00
C4,"Import-monitoring, surveillance and automatic licensing measures",Algeria,2020-01-01T00:00:00,World [Valid From: 01 Jan 2020],True,9999-12-31T00:00:00
C4,"Import-monitoring, surveillance and automatic licensing measures",Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
C4,"Import-monitoring, surveillance and automatic licensing measures",Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
E119,"Licensing for economic reasons, n.e.s.",Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
E119,"Licensing for economic reasons, n.e.s.",Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
E125,Licensing for the protection of public health,Algeria,2020-01-01T00:00:00,World [Valid From: 01 Jan 2020],True,9999-12-31T00:00:00
E69,E69 Other TRQs n.e.s.,Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
J1,Restrictions on the sale of goods,Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
J1,Restrictions on the sale of goods,Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P22,Export monitoring and surveillance requirements,Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
P22,Export monitoring and surveillance requirements,Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P22,Export monitoring and surveillance requirements,Algeria,2020-01-01T00:00:00,World [Valid From: 01 Jan 2020],True,9999-12-31T00:00:00
P29,Export formalities n.e.s.,Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
P33,"Licensing, permit or registration requirements to export",Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P33,"Licensing, permit or registration requirements to export",Algeria,2020-07-01T00:00:00,Niger [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P33,"Licensing, permit or registration requirements to export",Algeria,2020-06-01T00:00:00,World [Valid From: 01 Jun 2020],True,9999-12-31T00:00:00
P49,"Export price-control measures, taxes and charges n.e.s.",Algeria,2020-07-01T00:00:00,Mali [Valid From: 01 Jul 2020],False,9999-12-31T00:00:00
P49,"Export price-control measures, taxes and charges n.e.s.",Algeria,2020-07-01T00:00:00,"Mali, Niger [Valid From: 01 Jul 2020]",False,9999-12-31T00:00:00
A64,Storage and transport conditions,Argentina,2023-05-15T00:00:00,World [Valid From: 15 May 2023],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2023-05-30T00:00:00,"Brazil, China, India, Indonesia, Peru [Valid From: 30 May 2023]",False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2023-06-05T00:00:00,China [Valid From: 05 Jun 2023],False,9999-12-31T00:00:00
P13,Production and post-production requirements to export,Argentina,2022-11-23T00:00:00,World [Valid From: 23 Nov 2022],True,9999-12-31T00:00:00
P162,Inspection requirement,Argentina,2022-11-23T00:00:00,World [Valid From: 23 Nov 2022],True,9999-12-31T00:00:00
P32,Export quotas,Argentina,2024-04-01T00:00:00,United States [Valid From: 01 Apr 2024 - Valid Till: 31 Mar 2025],False,2025-03-31T00:00:00
D12,Antidumping duty,Argentina,2024-06-04T00:00:00,China [Valid From: 04 Jun 2024 - Valid Till: 04 Jun 2026],False,2026-06-04T00:00:00
D12,Antidumping duty,Argentina,2022-10-28T00:00:00,"China, Netherlands [Valid From: 28 Oct 2022 - Valid Till: 28 Oct 2027]",False,2027-10-28T00:00:00
P13,Production and post-production requirements to export,Argentina,2022-11-05T00:00:00,World [Valid From: 05 Nov 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2022-12-01T00:00:00,China [Valid From: 01 Dec 2022],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2022-12-23T00:00:00,China [Valid From: 23 Dec 2022 - Valid Till: 23 Dec 2027],False,2027-12-23T00:00:00
D11,Antidumping investigation,Argentina,2023-01-23T00:00:00,China [Valid From: 23 Jan 2023],False,9999-12-31T00:00:00
P163,Certification required by the exporting country,Argentina,2022-11-11T00:00:00,World [Valid From: 11 Nov 2022],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2023-03-27T00:00:00,World [Valid From: 27 Mar 2023],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2023-04-11T00:00:00,"Brazil, China [Valid From: 11 Apr 2023]",False,9999-12-31T00:00:00
C3,Requirement to pass through specified port of customs,Argentina,2023-05-15T00:00:00,World [Valid From: 15 May 2023],True,9999-12-31T00:00:00
A14,Authorization requirement for SPS reasons for importing certain products,Argentina,2023-05-15T00:00:00,World [Valid From: 15 May 2023],True,9999-12-31T00:00:00
A49,"Hygienic requirements, n.e.s.",Argentina,2023-05-15T00:00:00,World [Valid From: 15 May 2023],True,9999-12-31T00:00:00
P42,Export taxes/duties,Argentina,2023-09-07T00:00:00,World [Valid From: 07 Sep 2023],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2023-11-22T00:00:00,India [Valid From: 22 Nov 2023 - Valid Till: 22 Nov 2028],False,2028-11-22T00:00:00
B82,Testing requirement,Argentina,2022-09-30T00:00:00,World [Valid From: 30 Sep 2022],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2022-09-30T00:00:00,World [Valid From: 30 Sep 2022],True,9999-12-31T00:00:00
B22,Restricted use of certain substances,Argentina,2022-09-30T00:00:00,World [Valid From: 30 Sep 2022],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Argentina,2022-09-30T00:00:00,World [Valid From: 30 Sep 2022],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
B32,Marking requirements,Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
B33,Packaging requirements,Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2022-10-26T00:00:00,India [Valid From: 26 Oct 2022],False,9999-12-31T00:00:00
G39,"Regulation on official foreign exchange allocation, n.e.s.",Argentina,2022-06-28T00:00:00,World [Valid From: 28 Jun 2022],True,9999-12-31T00:00:00
A859,"Traceability requirements, n.e.s.",Argentina,2022-07-23T00:00:00,World [Valid From: 23 Jul 2022],True,9999-12-31T00:00:00
P169,"Conformity Assessment measures, n.e.s.",Argentina,2022-07-23T00:00:00,World [Valid From: 23 Jul 2022],True,9999-12-31T00:00:00
B22,Restricted use of certain substances,Argentina,2022-09-29T00:00:00,World [Valid From: 29 Sep 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2022-09-30T00:00:00,China [Valid From: 30 Sep 2022],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2022-05-31T00:00:00,World [Valid From: 31 May 2022 - Valid Till: 31 May 2027],True,2027-05-31T00:00:00
D12,Antidumping duty,Argentina,2022-07-04T00:00:00,"China, Taiwan [Valid From: 04 Jul 2022 - Valid Till: 04 Jul 2027]",False,2027-07-04T00:00:00
D11,Antidumping investigation,Argentina,2022-06-30T00:00:00,India [Valid From: 30 Jun 2022],False,9999-12-31T00:00:00
G39,"Regulation on official foreign exchange allocation, n.e.s.",Argentina,2022-06-27T00:00:00,World [Valid From: 27 Jun 2022],True,9999-12-31T00:00:00
P9,"Export measures, n.e.s.",Argentina,2022-07-27T00:00:00,World [Valid From: 27 Jul 2022],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2022-01-21T00:00:00,World [Valid From: 21 Jan 2022],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2022-02-04T00:00:00,China [Valid From: 04 Feb 2022 - Valid Till: 04 Feb 2027],False,2027-02-04T00:00:00
D12,Antidumping duty,Argentina,2022-05-03T00:00:00,"China, Taiwan [Valid From: 03 May 2022]",False,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2022-04-13T00:00:00,World [Valid From: 13 Apr 2022],True,9999-12-31T00:00:00
B21,Tolerance limits for residues of or contamination by certain substances,Argentina,2022-04-13T00:00:00,World [Valid From: 13 Apr 2022],True,9999-12-31T00:00:00
B22,Restricted use of certain substances,Argentina,2022-04-13T00:00:00,World [Valid From: 13 Apr 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2022-03-31T00:00:00,Brazil [Valid From: 31 Mar 2022],False,9999-12-31T00:00:00
P163,Certification required by the exporting country,Argentina,2022-03-08T00:00:00,World [Valid From: 08 Mar 2022],True,9999-12-31T00:00:00
P14,"Product quality, safety, or performance requirement",Argentina,2022-03-08T00:00:00,World [Valid From: 08 Mar 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2022-03-09T00:00:00,China [Valid From: 09 Mar 2022],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2022-03-11T00:00:00,Türkiye [Valid From: 11 Mar 2022 - Valid Till: 11 Mar 2027],False,2027-03-11T00:00:00
B15,Authorization requirement for importers,Argentina,2022-05-17T00:00:00,World [Valid From: 17 May 2022],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2022-05-17T00:00:00,World [Valid From: 17 May 2022],True,9999-12-31T00:00:00
B82,Testing requirement,Argentina,2022-05-17T00:00:00,World [Valid From: 17 May 2022],True,9999-12-31T00:00:00
B33,Packaging requirements,Argentina,2022-05-17T00:00:00,World [Valid From: 17 May 2022],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2022-05-17T00:00:00,World [Valid From: 17 May 2022],True,9999-12-31T00:00:00
G32,Bank authorization,Argentina,2022-05-10T00:00:00,World [Valid From: 10 May 2022],True,9999-12-31T00:00:00
P42,Export taxes/duties,Argentina,2022-03-19T00:00:00,World [Valid From: 19 Mar 2022],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2022-03-31T00:00:00,World [Valid From: 31 Mar 2022],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2022-05-30T00:00:00,China [Valid From: 30 May 2022 - Valid Till: 30 May 2027],False,2027-05-30T00:00:00
P33,"Licensing, permit or registration requirements to export",Argentina,2021-05-14T00:00:00,World [Valid From: 14 May 2021],True,9999-12-31T00:00:00
E112,Licensing for specified use,Argentina,2021-03-31T00:00:00,World [Valid From: 31 Mar 2021],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2021-05-26T00:00:00,Brazil [Valid From: 26 May 2021],False,9999-12-31T00:00:00
F61,"Custom-inspection, -processing and -servicing fees",Argentina,2021-03-01T00:00:00,World [Valid From: 01 Mar 2021],True,9999-12-31T00:00:00
F69,"Additional charges, n.e.s.",Argentina,2021-03-01T00:00:00,World [Valid From: 01 Mar 2021],True,9999-12-31T00:00:00
P43,Export charges/fees levied in connection to services provided,Argentina,2021-03-01T00:00:00,World [Valid From: 01 Mar 2021],True,9999-12-31T00:00:00
P42,Export taxes/duties,Argentina,2022-01-01T00:00:00,World [Valid From: 01 Jan 2022],True,9999-12-31T00:00:00
P42,Export taxes/duties,Argentina,2022-01-17T00:00:00,World [Valid From: 17 Jan 2022],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2021-12-14T00:00:00,China [Valid From: 14 Dec 2021 - Valid Till: 14 Dec 2026],False,2026-12-14T00:00:00
D12,Antidumping duty,Argentina,2021-11-24T00:00:00,China [Valid From: 24 Nov 2021 - Valid Till: 24 Nov 2026],False,2026-11-24T00:00:00
A31,Labelling requirements,Argentina,2021-11-12T00:00:00,World [Valid From: 12 Nov 2021],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2021-11-12T00:00:00,World [Valid From: 12 Nov 2021],True,9999-12-31T00:00:00
A83,Certification requirement,Argentina,2021-03-18T00:00:00,Chile [Valid From: 18 Mar 2021],False,9999-12-31T00:00:00
P12,Export registration requirements for technical reasons,Argentina,2021-04-23T00:00:00,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden [Valid From: 23 Apr 2021]",False,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2021-06-01T00:00:00,World [Valid From: 01 Jun 2021],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2021-12-20T00:00:00,"Thailand, Türkiye [Valid From: 20 Dec 2021 - Valid Till: 20 Dec 2026]",False,2026-12-20T00:00:00
B31,Labelling requirements,Argentina,2022-01-07T00:00:00,World [Valid From: 07 Jan 2022],True,9999-12-31T00:00:00
P15,"Labelling, marking, or packaging requirements",Argentina,2022-01-07T00:00:00,World [Valid From: 07 Jan 2022],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2021-09-22T00:00:00,"Brazil, Peru [Valid From: 22 Sep 2021]",False,9999-12-31T00:00:00
A31,Labelling requirements,Argentina,2021-05-19T00:00:00,World [Valid From: 19 May 2021],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-10-23T00:00:00,China [Valid From: 23 Oct 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-11-10T00:00:00,United States [Valid From: 10 Nov 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-11-10T00:00:00,China [Valid From: 10 Nov 2020],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-11-07T00:00:00,"Brazil, China [Valid From: 07 Nov 2020 - Valid Till: 07 Nov 2025]",False,2025-11-07T00:00:00
G32,Bank authorization,Argentina,2021-01-11T00:00:00,World [Valid From: 11 Jan 2021],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2021-02-04T00:00:00,"Bangladesh, China, India, Malaysia, Sri Lanka [Valid From: 04 Feb 2021]",False,9999-12-31T00:00:00
P32,Export quotas,Argentina,2021-01-01T00:00:00,World [Valid From: 01 Jan 2021],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-10-23T00:00:00,China [Valid From: 23 Oct 2020],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-10-23T00:00:00,China [Valid From: 23 Oct 2020],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2021-01-29T00:00:00,China [Valid From: 29 Jan 2021],False,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2021-02-10T00:00:00,World [Valid From: 10 Feb 2021],True,9999-12-31T00:00:00
A31,Labelling requirements,Argentina,2021-02-10T00:00:00,World [Valid From: 10 Feb 2021],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2021-02-10T00:00:00,World [Valid From: 10 Feb 2021],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2021-02-27T00:00:00,India [Valid From: 27 Feb 2021],False,9999-12-31T00:00:00
A11,Prohibitions for SPS reasons,Argentina,2020-12-29T00:00:00,World [Valid From: 29 Dec 2020],True,9999-12-31T00:00:00
P31,Export prohibition,Argentina,2020-12-24T00:00:00,World [Valid From: 24 Dec 2020],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-12-10T00:00:00,China [Valid From: 10 Dec 2020 - Valid Till: 10 Dec 2025],False,2025-12-10T00:00:00
B853,Distribution and location of products after delivery,Argentina,2020-11-17T00:00:00,World [Valid From: 17 Nov 2020],True,9999-12-31T00:00:00
B31,Labelling requirements,Argentina,2020-11-17T00:00:00,World [Valid From: 17 Nov 2020],True,9999-12-31T00:00:00
B82,Testing requirement,Argentina,2020-11-17T00:00:00,World [Valid From: 17 Nov 2020],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-10-15T00:00:00,China [Valid From: 15 Oct 2020],False,9999-12-31T00:00:00
