YEAR,COUNTRY,EXPORT_USD,IMPORT_USD,EXPORT_SHARE,IMPORT_SHARE,EXPORT_PRODUCTS,IMPORT_PRODUCTS
2020,Aruba,774496360.0,155876270.0,0.0,0.0,2658.0,901
2020,Afghanistan,8712275270.0,1821493500.0,0.05,0.01,3348.0,1510
2020,Angola,7582954070.0,23900296000.0,0.04,0.14,3810.0,1465
2020,Anguila,149450460.0,34420440.0,0.0,0.0,1119.0,426
2020,Albania,5245673960.0,2472225990.0,0.03,0.01,3801.0,2090
2020,Andorra,1539137820.0,100453740.0,0.01,0.0,2838.0,1190
2020,United Arab Emirates,180619589300.0,177676035700.0,1.05,1.02,4471.0,4427
2020,Argentina,40008609400.0,60385794910.0,0.23,0.35,4110.0,3550
2020,Armenia,3549852890.0,2772870160.0,0.02,0.02,3681.0,1843
2020,American Samoa,133591820.0,20467710.0,0.0,0.0,905.0,506
2020,Antarctica,29689090.0,10118880.0,0.0,0.0,751.0,145
2020,Fr. So. Ant. Tr,27572420.0,25303120.0,0.0,0.0,591.0,146
2020,Antigua and Barbuda,824430890.0,210212560.0,0.0,0.0,2421.0,1188
2020,Australia,195279402600.0,266626703400.0,1.14,1.54,4458.0,4353
2020,Austria,158049908700.0,158350042700.0,0.92,0.91,4514.0,4494
2020,Azerbaijan,9812449960.0,11991387840.0,0.06,0.07,3923.0,1632
2020,Br. Antr. Terr,0.0,3670.0,0.0,0.0,0.0,1
2020,Burundi,633379400.0,164476580.0,0.0,0.0,2450.0,362
2020,Belgium,354644374400.0,330083522800.0,2.06,1.9,4536.0,4561
2020,Benin,3712013060.0,1116610630.0,0.02,0.01,2810.0,1073
2020,Bonaire,295889420.0,33096140.0,0.0,0.0,1843.0,426
2020,Burkina Faso,2794509650.0,4205365780.0000005,0.02,0.02,2884.0,1133
2020,Bangladesh,50281328390.0,41554446980.0,0.29,0.24,4143.0,2461
2020,Bulgaria,33384930050.0,31154203510.0,0.19,0.18,4437.0,4401
2020,Bahrain,12776171060.0,11372539530.0,0.07,0.07,3893.0,2468
2020,"Bahamas, The",6757649720.0,1350952810.0,0.04,0.01,3155.0,856
2020,Bosnia and Herzegovina,8374553090.0,6251701640.0,0.05,0.04,4042.0,2806
2020,Saint Barthélemy,34271250.0,47565230.0,0.0,0.0,1182.0,257
2020,Belarus,29674903540.0,25120584160.0,0.17,0.14,4309.0,3936
2020,Belize,1024872550.0,423328640.0,0.01,0.0,2473.0,945
2020,Bermuda,2622949470.0,266702890.0,0.02,0.0,2335.0,708
2020,Bolivia,5166926260.0,7313734780.0,0.03,0.04,3510.0,1281
2020,Brazil,156563407900.0,236829794400.0,0.91,1.36,4288.0,4230
2020,Barbados,1325077430.0,283852940.0,0.01,0.0,3000.0,1419
2020,Brunei,3864703810.0,7318162680.0,0.02,0.04,3243.0,1121
2020,Bhutan,831073380.0,203352600.0,0.0,0.0,3041.0,387
2020,Bunkers,19593230120.0,82304340.0,0.11,0.0,2750.0,66
2020,Bouvet Island,775160.0,328570.0,0.0,0.0,50.0,63
2020,Botswana,5630622590.0,4070994260.0,0.03,0.02,3874.0,1919
2020,Central African Republic,361091900.0,138718640.0,0.0,0.0,1943.0,395
2020,Canada,406761600300.0,396970985300.0,2.37,2.29,4531.0,4432
2020,Cocos (Keeling) Islands,6875370.0,5243370.0,0.0,0.0,268.0,325
2020,Switzerland,283804420200.0,318280406100.0,1.65,1.83,4522.0,4400
2020,Chile,56847940940.0,76512865560.0,0.33,0.44,4254.0,3223
2020,China,1726046370000.0,2702728746000.0,10.04,15.57,4541.0,4613
2020,Cote d'Ivoire,10311672490.0,11509926660.0,0.06,0.07,3584.0,1921
2020,Cameroon,7231893290.0,4329408560.0,0.04,0.02,3425.0,2059
2020,"Congo, Rep.",3038950630.0,7289705070.0,0.02,0.04,3150.0,1355
2020,Cook Islands,101741290.0,28578700.0,0.0,0.0,2121.0,275
2020,Colombia,41626482240.0,34829169940.0,0.24,0.2,4230.0,3556
2020,Comoros,284235280.0,63062370.0,0.0,0.0,1946.0,372
2020,Cape Verde,815377440.0,97238290.0,0.0,0.0,2991.0,643
2020,Costa Rica,13485103040.0,16421301140.0,0.08,0.09,3874.0,2898
2020,Cuba,3980068490.0,1713059830.0,0.02,0.01,3162.0,720
2020,Curaçao,998906850.0,183679610.0,0.01,0.0,2819.0,1755
2020,Christmas Island,24500640.0,15671740.0,0.0,0.0,646.0,262
2020,Cayman Islands,3992654870.0,1988846940.0,0.02,0.01,2522.0,670
2020,Cyprus,10705140510.0,3100215700.0,0.06,0.02,4263.0,3482
2020,Czech Republic,152376094600.0,164230005900.0,0.89,0.95,4491.0,4489
2020,Germany,1092226279000.0,1293053056000.0,6.35,7.45,4564.0,4599
2020,Djibouti,5491469460.0,251463340.0,0.03,0.0,3196.0,643
2020,Dominica,257107830.0,45188030.0,0.0,0.0,1964.0,800
2020,Denmark,93749114930.0,99616402940.0,0.55,0.57,4459.0,4442
2020,Dominican Republic,16452685600.0,10082207880.0,0.1,0.06,3926.0,2387
2020,Algeria,34603843650.0,22125974090.0,0.2,0.13,3866.0,1624
2020,East Asia & Pacific,4803684793000.0,5954649001000.0,27.95,34.31,0.0,4625
2020,Europe & Central Asia,6426457371000.0,6450753716000.0,37.39,37.17,0.0,4630
2020,Ecuador,16039002760.0,22362539350.0,0.09,0.13,3960.0,2380
2020,"Egypt, Arab Rep.",70544687820.0,29213408530.0,0.41,0.17,4218.0,3480
2020,Eritrea,309784780.0,647455780.0,0.0,0.0,1618.0,323
2020,Western Sahara,9022630.0,7562580.0,0.0,0.0,95.0,66
2020,Spain,299180384800.0,294347921300.0,1.74,1.7,4538.0,4577
2020,Estonia,19516728100.0,14444454280.0,0.11,0.08,4340.0,4181
2020,Ethiopia(excludes Eritrea),8415900470.000001,2974502050.0,0.05,0.02,3549.0,1666
2020,Finland,65263912180.0,67789153910.0,0.38,0.39,4422.0,4311
2020,Fiji,1473529950.0,656487970.0,0.01,0.0,3265.0,1853
2020,Falkland Island,112084700.0,418169100.0,0.0,0.0,1127.0,182
2020,France,553234732900.0,496106147200.0,3.22,2.86,4559.0,4586
2020,Free Zones,2918269520.0,3017318630.0,0.02,0.02,2135.0,2582
2020,Faeroe Islands,1145512240.0,1317933160.0,0.01,0.01,3036.0,712
2020,"Micronesia, Fed. Sts.",142275760.0,151725780.0,0.0,0.0,1341.0,140
2020,Gabon,2309475110.0,5219858220.0,0.01,0.03,3105.0,1038
2020,United Kingdom,606290728700.0,363804102600.0,3.53,2.1,4559.0,4586
2020,Georgia,8157768020.0,2919002400.0,0.05,0.02,3890.0,2171
2020,Ghana,16790131100.000002,13993497920.0,0.1,0.08,3837.0,2393
2020,Gibraltar,7540092990.0,214058830.0,0.04,0.0,2869.0,664
2020,Guinea,4824641580.0,12124155010.0,0.03,0.07,3116.0,937
2020,"Gambia, The",1451133340.0,344007270.0,0.01,0.0,2513.0,465
2020,Guinea-Bissau,330911690.0,181305550.0,0.0,0.0,2060.0,197
2020,Equatorial Guinea,1290573030.0,3145735440.0,0.01,0.02,2567.0,404
2020,Greece,54033021650.0,31210973210.0,0.31,0.18,4447.0,4332
2020,Grenada,320435340.0,35113080.0,0.0,0.0,2311.0,581
2020,Greenland,797252770.0,1356629360.0,0.0,0.01,2866.0,424
2020,Guatemala,16111229060.0,11339473500.0,0.09,0.07,3883.0,2899
2020,Guam,615869810.0,36866660.0,0.0,0.0,1705.0,475
2020,Guyana,2220176270.0,2361922340.0,0.01,0.01,2966.0,892
2020,"Hong Kong, China",583506314100.0,99221460070.0,3.39,0.57,4472.0,4267
2020,Heard Island and McDonald Isla,2099570.0,412190.0,0.0,0.0,36.0,45
2020,Honduras,10087121270.0,8447682260.0,0.06,0.05,3699.0,2390
