Country_Pair,Connectivity_Index
ARE|AUS,0.3
ARE|CHN,0.5
ARE|DEU,0.4
ARE|FRA,0.4
ARE|HKG,0.4
ARE|IDN,0.2
ARE|IND,0.4
ARE|JPN,0.3
ARE|KOR,0.4
ARE|MYS,0.4
ARE|NLD,0.4
ARE|PHL,0.3
ARE|SGP,0.5
ARE|THA,0.3
ARE|USA,0.4
ARE|VNM,0.3
AUS|CHN,0.4
AUS|DEU,0.3
AUS|FRA,0.3
AUS|HKG,0.3
AUS|IDN,0.3
AUS|IND,0.3
AUS|JPN,0.3
AUS|KOR,0.4
AUS|MYS,0.4
AUS|NLD,0.3
AUS|PHL,0.3
AUS|SGP,0.4
AUS|THA,0.3
AUS|USA,0.4
AUS|VNM,0.3
CHE|ARE,0.0
CHE|AUS,0.0
CHE|CHN,0.0
CHE|DEU,0.0
CHE|FRA,0.0
CHE|HKG,0.0
CHE|IDN,0.0
CHE|IND,0.0
CHE|JPN,0.0
CHE|KOR,0.0
CHE|MYS,0.0
CHE|NLD,0.0
CHE|PHL,0.0
CHE|SGP,0.0
CHE|THA,0.0
CHE|USA,0.0
CHE|VNM,0.0
CHN|DEU,0.5
CHN|FRA,0.5
CHN|HKG,0.6
CHN|IDN,0.4
CHN|IND,0.5
CHN|JPN,0.6
CHN|KOR,0.6
CHN|MYS,0.6
CHN|NLD,0.5
CHN|PHL,0.4
CHN|SGP,0.6
CHN|THA,0.4
CHN|USA,0.6
CHN|VNM,0.5
DEU|FRA,0.5
DEU|HKG,0.4
DEU|IDN,0.3
DEU|IND,0.4
DEU|JPN,0.4
DEU|KOR,0.5
DEU|MYS,0.4
DEU|NLD,0.5
DEU|PHL,0.3
DEU|SGP,0.4
DEU|THA,0.3
DEU|USA,0.5
DEU|VNM,0.4
FRA|HKG,0.4
FRA|IDN,0.2
FRA|IND,0.4
FRA|JPN,0.4
FRA|KOR,0.5
FRA|MYS,0.4
FRA|NLD,0.5
FRA|PHL,0.3
FRA|SGP,0.4
FRA|THA,0.3
FRA|USA,0.5
FRA|VNM,0.4
HKG|IDN,0.3
HKG|IND,0.4
HKG|JPN,0.5
HKG|KOR,0.5
HKG|MYS,0.5
HKG|NLD,0.4
HKG|PHL,0.3
HKG|SGP,0.4
HKG|THA,0.4
HKG|USA,0.5
HKG|VNM,0.5
IDN|IND,0.3
IDN|JPN,0.3
IDN|KOR,0.4
IDN|MYS,0.4
IDN|NLD,0.2
IDN|PHL,0.3
IDN|SGP,0.4
IDN|THA,0.3
IDN|USA,0.3
IDN|VNM,0.3
IND|JPN,0.4
IND|KOR,0.4
IND|MYS,0.4
IND|NLD,0.4
IND|PHL,0.3
IND|SGP,0.4
IND|THA,0.3
IND|USA,0.4
IND|VNM,0.3
JPN|KOR,0.5
JPN|MYS,0.4
JPN|NLD,0.4
JPN|PHL,0.3
JPN|SGP,0.5
JPN|THA,0.3
JPN|USA,0.5
JPN|VNM,0.4
KOR|MYS,0.5
KOR|NLD,0.5
KOR|PHL,0.4
KOR|SGP,0.5
KOR|THA,0.4
KOR|USA,0.5
KOR|VNM,0.5
MYS|NLD,0.4
MYS|PHL,0.4
MYS|SGP,0.5
MYS|THA,0.4
MYS|USA,0.5
MYS|VNM,0.4
NLD|PHL,0.3
NLD|SGP,0.5
NLD|THA,0.3
NLD|USA,0.5
NLD|VNM,0.4
PHL|SGP,0.4
PHL|THA,0.3
PHL|USA,0.3
PHL|VNM,0.3
SGP|THA,0.5
SGP|USA,0.5
SGP|VNM,0.5
THA|USA,0.3
THA|VNM,0.4
USA|VNM,0.4
