,country_a,country_b,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,D,year
0,ARE,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060739200.0,0.6201511209525525,2006
1,ARE,CHE,3797882.455339004,1355991.4075133833,6939407.658540023,375939766.76250905,2690338.638050003,936428.875416102,44229474.521214776,98244693.68141748,0.5860499843659377,2006
2,ARE,CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953952512.0,0.6354452465937601,2006
3,ARE,DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715961408.0,0.5660265808101566,2006
4,ARE,FRA,49728798.38365922,46802961.21129808,93061634.74707316,73077894.62872288,97811684.08500892,17511749.46981496,116271570.51637954,246298634.9580429,0.6205508624335428,2006
5,ARE,HKG,6375890.2420446025,6676403.929427839,15998498.081264645,964893469.9302236,66906952.07724696,36363548.3047526,36102542.73989996,352232646.6951392,0.6354452465937601,2006
6,ARE,IDN,37789091.63202068,25874154.20850257,58424068.05603711,78412975.7069854,51252442.6874085,17310187.146273598,19027035.68390543,76513756.8788665,0.6135272321545894,2006
7,ARE,IND,313709207.42471963,478564735.0545891,631559461.493377,4444638977.966654,350035088.9218107,115480276.00039534,86141805.29462594,1590697199.843827,0.6186942804387302,2006
8,ARE,JPN,193796595.6682296,4595806643.005183,4125032736.0013776,640518621.8404146,15738762201.725382,1204720138.9566376,548926930.3180646,6467810724.484691,0.5895537188713493,2006
9,ARE,KOR,623740437.6244704,1574707061.7272854,3200569557.7598624,866299982.2951549,3301892585.887039,563307537.6909056,232779422.3408353,3299496118.6744413,0.5514535617112376,2006
10,ARE,MYS,67933146.49102843,61926303.2720941,177334766.80019644,320689722.7920068,35551542.01411482,106684784.07414022,26947870.173916616,226711384.38250232,0.597832648504813,2006
11,ARE,NLD,90163282.7062744,62998040.79967623,225340285.2236364,46519279.60247718,72965127.54206811,65682503.39687488,47021382.577655226,236381010.1513373,0.6716559124835543,2006
12,ARE,PHL,67545180.33131221,15665085.86350449,81071266.5097157,42845884.21100972,28846923.850351803,32276121.46332219,17320765.05847238,90647460.71231145,0.6571551252110582,2006
