country_a,country_b,year,tradeagreementindex,maritime_connectivity,sentiment_index,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
AUS,CHN,2006,0,0.4,0.7036084153571494,533095077.8636364,4704876121.265198,3161135402.229838,2703659471.757762,942291989.4143986,1772321407.3147407,595798231.954392,2372144282.2000375
AUS,CHN,2007,0,0.4,0.6976511879617343,736611957.5322797,6164697528.261192,4314239660.563963,3235319740.706622,1397077899.8937032,2896901232.283149,974816398.666805,1952914654.0922828
AUS,CHN,2008,0,0.4,0.6750606114744825,977011201.9697111,10447685495.669216,4994798795.504263,3325546806.182883,1531485118.5578597,3315306287.5398474,1097852088.7855918,2461169885.7906256
AUS,CHN,2009,0,0.4,0.6761726451366501,1088211764.281707,15257259443.90249,5575270727.430279,3579185643.4163465,1926044312.203178,3678534730.5733023,1290993730.7666283,2778649791.4260693
AUS,CHN,2010,0,0.4,0.6675017596465672,1569952843.727998,27535925183.22465,7453179842.414971,5041719470.244914,2204082639.869928,5074904876.505286,1716256993.1429877,4108274086.8692594
AUS,CHN,2011,0,0.4,0.6911558056454499,1957940723.5040743,39173257226.41588,8897280240.316141,7485772117.311767,3044408453.803855,6137509987.413883,2021580306.2160442,5431221441.018357
AUS,CHN,2012,0,0.4,0.6604720346541324,2976809443.6102405,36022873118.00183,9209671921.898819,10359215741.954964,3443855163.2894087,6030121015.08788,2383591954.0375113,4052461834.1193275
AUS,CHN,2013,0,0.4,0.5527828962989054,4063184971.691241,45816644441.82708,10560426557.936281,12131168266.870193,3569951707.069366,6214442689.025315,2330807301.517788,4007715696.06273
AUS,CHN,2014,0,0.4,0.5510193701058133,3507231022.112353,38775771437.617165,9906628477.891846,9849427546.985977,2979048248.403087,5855431908.377587,2089558105.3646126,4040851285.247376
AUS,CHN,2015,4,0.4,0.451671659168428,3922999374.3115253,22849805925.48077,9075006610.632555,8801470080.191652,2441040502.4641705,5008370413.408006,2051770268.9789257,3585118520.5323935
AUS,CHN,2016,4,0.4,0.4238856191283249,3644376204.1248364,25379773567.87703,8121944117.737694,5868273667.305276,2296058019.497224,4765467719.826402,2230415819.361473,3640078340.270064
AUS,CHN,2017,4,0.4,0.4263370660653762,5552227594.12689,33386210774.836105,10709411696.74265,6038949501.995847,2670774748.446135,5927952953.464102,2563546204.717004,3703363261.671262
AUS,CHN,2018,4,0.4,0.4039406869197078,6046925805.631946,34939424979.05526,12012535696.511469,8257958940.417132,3261333060.1879616,6503081527.575396,3006198183.48353,4236689775.137296
AUS,CHN,2019,4,0.4,0.3713335456551643,7006696071.084238,47576935333.63145,12131784796.800337,7225338873.011443,3497899966.241177,6599680542.826771,3333250581.5054126,4275963274.899168
AUS,CHN,2020,4,0.4,0.3185644910155923,5599834180.603331,45557878010.657814,11875432541.540361,5605879131.289285,3265386144.3420305,6502152087.477266,3079859603.8430653,5985427772.246851
AUS,CHN,2021,4,0.4,0.3353717400722485,5357846574.48823,58401405778.545654,15130291265.35903,8863942258.784195,5032930807.329037,7368999924.283326,3219695539.490354,4336359467.7201805
AUS,CHN,2022,4,0.4,0.3664607642282501,5687476652.281073,41446196165.599525,18887818799.06928,8142179203.178047,5677558029.293122,9443305656.602514,3905517353.530178,95840236.44625136
AUS,CHN,2023,4,0.4,0.393764689717212,6017573106.243447,49646451558.803444,19788088443.992275,7506538971.048016,6599394928.968084,8434569090.48018,2943125076.224419,114643208.24011335
AUS,FRA,2006,0,0.3,0.6888917895711076,81177576.66746065,214518668.86939496,124348985.08427484,16313522.772376817,233322487.23574945,26415822.953570526,210363358.6587427,127325753.75842999
AUS,FRA,2007,0,0.3,0.6385563926476332,103696589.79458594,191543457.16546926,203233862.30783555,21425087.26034846,358015714.522994,49664162.95409828,267385644.24371958,107571417.75094873
AUS,FRA,2008,0,0.3,0.6682489665437058,125733240.23219506,297334643.01742923,176216657.70829388,21683849.02571298,383712919.298898,54430885.38429444,279262820.5218563,138237976.81132007
AUS,FRA,2009,0,0.3,0.6522054713912333,114439590.11404505,206074738.57032272,142427453.15617853,13985215.883660626,142500551.98756242,40304346.60727934,257893634.42037624,88566917.2605749
AUS,FRA,2010,0,0.3,0.6830397172329294,113533925.08659136,286983613.84508085,145135007.22761518,17658364.42032734,153393390.518481,40814630.05961833,271678462.1575911,102286510.68469475
AUS,FRA,2011,0,0.3,0.6796689951240614,152496907.63430962,248997499.65234762,177612766.73215926,16616116.827630099,155960510.72123247,63699134.947633624,289542896.09184444,129115639.39284284
AUS,FRA,2012,0,0.3,0.6674595456456794,133658454.17566973,219980393.24729022,144167590.44684285,17280807.591464516,170599753.18185166,42967484.22770546,244186437.8681657,124923047.26100977
AUS,FRA,2013,0,0.3,0.5617725584219669,204034163.63432676,214549391.59687626,145869919.64823866,19162368.824847613,157430887.29614472,38244517.3716342,309924325.56216866,102539946.06576306
AUS,FRA,2014,0,0.3,0.543346414400237,169962983.9320172,147599288.84533498,136298237.3235837,16221195.98436523,151061381.59968734,33295270.502696097,221666157.6321163,98757116.18019916
AUS,FRA,2015,0,0.3,0.388622509848349,145673635.74537906,117550937.78168654,108192262.66322722,17222612.064719986,133398517.13597046,31534079.698798493,170398126.18530962,88795588.72490856
AUS,FRA,2016,0,0.3,0.3945626610113666,217623446.00081527,221467225.79198632,175874883.20993963,28247506.54464575,189228191.48905495,43945360.17333043,261904429.86887622,141382812.92135122
AUS,FRA,2017,0,0.3,0.4224909269977976,165402321.94671482,161183345.1786506,114264749.48482165,29483463.247296143,161608044.24580693,28456319.522341486,184508412.3037339,73122272.07063448
AUS,FRA,2018,0,0.3,0.4281769452954536,179522513.04360393,223163973.76823035,138869655.30240756,35182929.97712096,183054360.3813276,30129773.276358385,210001349.3558163,78443060.89513488
AUS,FRA,2019,0,0.3,0.3796911798863893,147720056.44077143,151096783.93196595,109551822.48405704,38595472.71371785,151085673.71034148,22324993.089898374,243451808.72686043,90366988.90238743
AUS,FRA,2020,0,0.3,0.4162291313232797,160730283.56856138,125204360.06100789,123824198.28560999,130212426.33853003,171091782.0373931,25622135.786559064,288683728.65064746,102087597.27169096
AUS,FRA,2021,0,0.3,0.4011150646260765,228629330.99374187,160126016.1735098,140295121.55323607,116761823.41046229,202290142.63296783,26905569.633290146,221180707.3131779,78749656.28961407
AUS,FRA,2022,0,0.3,0.4220004607080986,393769821.78406006,340182739.0132391,184314061.3785849,81396678.02364485,292866520.5491871,36217795.88519402,328121087.62591326,11132831.74017673
AUS,FRA,2023,0,0.3,0.4495869039611948,234345379.35556817,234777624.72235045,128476574.44269617,56923353.152757615,267268824.93348777,27984914.829668444,260233949.48550454,11206915.07796662
AUS,DEU,2006,0,0.3,0.6581247750762543,77368940.42804287,183548608.8069806,256559526.95781568,27578072.756861288,299186405.97281736,65970159.56933897,154326493.15809664,129485216.35004643
AUS,DEU,2007,0,0.3,0.6642167607947564,77139003.2045279,190098384.23098642,294087318.2608131,25588169.05659184,343442887.0996258,76361063.853184,186478696.32736373,87945981.96690704
AUS,DEU,2008,0,0.3,0.6334062509873954,102522441.17084764,290644326.25781006,426751842.9216341,34051539.81203259,485350500.6361518,80374961.68508242,216162145.00112486,120203426.51531643
AUS,DEU,2009,0,0.3,0.6513127713338578,84727772.96094102,195168332.3887948,290662865.3400326,29292508.24923701,375349369.4964753,57775336.77880671,187851356.92982024,95833577.85589233
AUS,DEU,2010,0,0.3,0.6664372996991967,97374063.34334436,279959808.89321935,356997157.7243905,35918676.514561296,581586741.3102407,72682094.83137904,242247171.238892,112291566.1439727
AUS,DEU,2011,0,0.3,0.6535586294328448,166586600.78222334,374211028.5333887,471529882.45498,55857524.68987001,737308314.3566483,93687728.14344437,338572619.3102598,151190685.72918525
AUS,DEU,2012,0,0.3,0.6528763604670557,135421376.4388999,322909367.37352556,440672900.2778246,39747290.85488911,588179213.8650122,77991674.60201949,292487477.12786144,117645291.45996743
AUS,DEU,2013,0,0.3,0.5422653164158917,148460876.6689813,220904778.04861385,363547154.4153114,40224821.8099751,564003754.5621029,79975783.72263327,284455978.86785865,104079715.90452354
AUS,DEU,2014,0,0.3,0.5381923774671113,120105285.2108487,171284767.9050828,291970549.369821,26648448.415259846,450669265.21340084,55842534.212654285,249236430.98245993,83263646.69047254
AUS,DEU,2015,0,0.3,0.4177812625295389,108719639.71863146,147494257.758871,254486657.93781152,24180638.2611021,435170436.67347103,42550579.63480067,229785594.53349274,94447139.48181947
AUS,DEU,2016,0,0.3,0.3880388436466617,295906338.9213641,293636346.0473681,518222243.67606,58112077.53635465,1066766730.6925918,86924195.26757458,477132180.70439696,239036975.1542897
AUS,DEU,2017,0,0.3,0.4150091292720086,198517162.2926414,172489264.42374048,301227502.5490287,41509408.224139884,529236210.6743565,54026382.857943885,291017411.5056694,77886801.4724797
AUS,DEU,2018,0,0.3,0.4132246309002155,184792536.82723543,211562733.9990268,383598335.23926115,30367724.78592925,538327643.9598546,58227216.14903717,325549975.73938346,76400585.30027224
AUS,DEU,2019,0,0.3,0.4086567113219466,175429915.35449526,210443777.15685323,353490958.9666129,32128108.617754534,529052249.8536244,52638987.54890302,396940935.03947496,85333883.4622815
AUS,DEU,2020,0,0.3,0.3680071257294026,226590900.74464375,283755671.5459697,432793420.7235275,99044983.91150828,508051017.32605124,63199527.791089095,534228731.3970388,108930690.56017153
AUS,DEU,2021,0,0.3,0.4096620504198348,294670276.1969,266352355.59006298,465136138.3206135,49608258.71197003,522561936.3682212,70219802.12116197,430686587.2237744,120013029.46729572
AUS,DEU,2022,0,0.3,0.4312918399086781,440782924.8570216,401503431.0555058,533168145.8660773,67488142.13697454,636802069.3236886,81228598.37181467,611406395.1291069,14499525.259810613
AUS,DEU,2023,0,0.3,0.425323276553754,204592364.60353082,243004888.68323764,322498086.56365556,34248693.11628888,498882297.0741917,56250952.04686731,344110662.56499565,19607063.347232386
AUS,HKG,2006,0,0.3,0.7036084153571494,323233375.1114935,89915071.69163756,735299843.6594052,481379425.1358889,83627491.33132112,215360130.03833973,233225244.5790802,455898362.4528338
AUS,HKG,2007,0,0.3,0.6976511879617343,362073798.25161505,61630886.28555058,739799059.468307,350379530.21601826,80010140.2245642,349576080.21959865,266134919.4952415,344529601.8391048
AUS,HKG,2008,0,0.3,0.6750606114744825,395450701.29577285,116698282.59996258,538455764.8014525,417595497.88497543,106223322.94713135,373167029.0299458,271324162.99357253,446577718.4471869
AUS,HKG,2009,0,0.3,0.6761726451366501,429552549.9560983,129722949.64821887,416245329.02527505,361223235.7464184,75563654.11788331,317475710.75609595,238166178.3807503,419273688.36925954
AUS,HKG,2010,0,0.3,0.6675017596465672,465516668.74057627,131388217.24974677,443047383.13459074,738899286.472462,83059179.89254917,347347661.99948096,293620666.36007214,515611816.1505219
AUS,HKG,2011,0,0.3,0.6911558056454499,528435909.87978774,222518420.78589645,476795205.65505075,610364360.4111123,103275674.22809194,284416541.24632585,315416912.2388032,606501007.554931
AUS,HKG,2012,0,0.3,0.6604720346541324,514451873.09580255,185325227.96031097,371149043.4157135,437754280.99061704,82590621.92576848,280686508.873572,325027328.8765886,449998026.861627
AUS,HKG,2013,0,0.3,0.5527828962989054,552802360.9379425,125515638.4421989,368174683.9680147,453543984.27756083,70639451.06449573,243962088.19736007,306563013.3242588,317173947.78816843
AUS,HKG,2014,0,0.3,0.5510193701058133,639227554.3696326,113728246.64138688,322670019.2041426,404039391.7952019,74025797.58772203,262060339.07239196,321490460.0357473,276334639.29377466
AUS,HKG,2015,0,0.3,0.451671659168428,679597498.9713578,96305169.2418986,238304152.30144417,418847918.56766474,71941016.92953207,278252581.9577621,278507763.6006715,221107770.4296689
AUS,HKG,2016,0,0.3,0.4238856191283249,561187863.6794171,67932694.45613797,124340189.90725031,2744420549.7463737,40838064.407977484,180444611.93484613,255614401.6109056,217867768.25709218
AUS,HKG,2017,0,0.3,0.4263370660653762,967152499.5487292,116774356.31839883,224698703.8988801,6073192408.116611,65656317.83326821,299260719.3519132,428198115.16457814,289904511.7676218
AUS,HKG,2018,0,0.3,0.4039406869197078,840016302.8318559,176646600.22178987,223574307.83150738,4783083958.440395,49999834.17282177,310611991.59179497,408345230.19750506,269564718.7123289
AUS,HKG,2019,0,0.3,0.3713335456551643,713342222.0706873,213225156.23508844,172410387.46603248,2644003145.9217253,48632192.07496764,263165894.73630124,376591928.2803518,237646161.2148459
AUS,HKG,2020,4,0.3,0.3185644910155923,568202101.0600518,1385617516.5853498,117746193.35586935,1262140329.0643127,54589599.02581416,193883287.62102875,335940079.74197245,138417981.5456015
AUS,HKG,2021,4,0.3,0.3353717400722485,1009903889.9341514,334848066.4892761,309584576.9031656,2828247084.29586,58282168.791233435,357481114.44111335,488181985.2681376,245961609.87706208
AUS,HKG,2022,4,0.3,0.3664607642282501,436196636.7519864,81822297.31995462,186478389.23841134,2767682128.1422176,40802306.36740058,234492005.30258957,249328752.4638909,6426412.413548492
AUS,HKG,2023,4,0.3,0.393764689717212,591579000.8453602,59265946.654404104,178638504.56665465,3444818358.0366364,51566544.10900875,267344727.94780675,258029416.62129912,4041725.2188300313
AUS,IND,2006,0,0.3,0.6796147067437701,276760998.3037909,3011080889.5238724,464151610.12545353,3245486935.3134995,139033915.41352078,30367280.74974576,102166626.1035716,278489664.4665472
