country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
AUS,CHE,2021,79695407.63814974,35922430.2908436,126706011.08900188,423349069.9014885,29976270.878363896,9962670.108485062,469015394.1221932,29947209.971474152
AUS,CHE,2022,81782198.31838474,29510552.308155864,108269453.4395106,485019209.58527327,43928753.48191581,12492145.50310704,530453867.4881865,11867723.875466071
AUS,CHE,2023,78688249.85537791,39983419.7130351,91206917.47083794,411572337.0863618,48420933.16443578,13473580.773868198,501397996.7914715,8837749.144611692
AUS,CHN,2021,5357846574.48823,58401405778.54565,15130291265.35903,8863942258.784195,5032930807.329037,7368999924.283326,3219695539.490354,4336359467.7201805
AUS,CHN,2022,5687476652.281073,41446196165.599525,18887818799.06928,8142179203.178047,5677558029.293122,9443305656.602514,3905517353.530178,95840236.44625136
AUS,CHN,2023,6017573106.243447,49646451558.80344,19788088443.992275,7506538971.048016,6599394928.968084,8434569090.48018,2943125076.224419,114643208.24011336
AUS,DEU,2021,294670276.1969,266352355.5900629,465136138.3206135,49608258.71197003,522561936.3682212,70219802.12116197,430686587.2237744,120013029.46729572
AUS,DEU,2022,440782924.8570216,401503431.0555058,533168145.8660773,67488142.13697454,636802069.3236886,81228598.37181467,611406395.1291069,14499525.259810612
AUS,DEU,2023,204592364.6035308,243004888.68323764,322498086.5636556,34248693.11628888,498882297.0741917,56250952.04686731,344110662.56499565,19607063.347232383
AUS,FRA,2021,228629330.99374187,160126016.1735098,140295121.55323607,116761823.41046228,202290142.63296783,26905569.633290146,221180707.3131779,78749656.28961407
AUS,FRA,2022,393769821.78406006,340182739.0132391,184314061.3785849,81396678.02364485,292866520.5491871,36217795.88519402,328121087.62591326,11132831.74017673
AUS,FRA,2023,234345379.35556817,234777624.72235045,128476574.44269615,56923353.152757615,267268824.93348777,27984914.829668444,260233949.4855045,11206915.07796662
AUS,HKG,2021,1009903889.9341514,334848066.4892761,309584576.9031656,2828247084.29586,58282168.79123344,357481114.4411133,488181985.2681376,245961609.87706208
AUS,HKG,2022,436196636.7519864,81822297.31995462,186478389.2384113,2767682128.1422176,40802306.36740058,234492005.3025896,249328752.4638909,6426412.413548492
AUS,HKG,2023,591579000.8453602,59265946.6544041,178638504.56665465,3444818358.0366364,51566544.10900875,267344727.94780675,258029416.62129912,4041725.2188300313
AUS,IDN,2021,1911101063.458258,1925179226.455433,884128432.5292277,704397476.0046287,286522934.7478864,186708174.70365125,154931250.90412614,96276881.19678794
AUS,IDN,2022,2046473104.112994,1980285273.4845176,891912587.7819772,934809839.2928854,322227620.5096581,254821449.2556581,187331157.2674497,14559320.294859784
AUS,IDN,2023,1618256740.2686052,1927421316.2111995,793791777.5621332,826706415.8162901,277066761.3978249,160824615.4835309,139658426.2483495,19097627.01206669
AUS,IND,2021,405248455.11758417,7919012007.15274,727153475.8013741,1837539571.349086,339301031.1439089,56590813.86612517,390436976.8739722,60120164.69520932
AUS,IND,2022,572319893.093381,11239136800.894753,885775866.2788721,1615123306.2601566,453647286.807384,79099480.07134108,476580736.48311055,13921878.110999202
AUS,IND,2023,777366318.9454721,7565323573.144928,855540626.5041593,1937499151.4375508,407324807.4532078,110351817.15389216,414727626.4791349,12197854.881654209
AUS,JPN,2021,3489370444.065382,22618049687.56198,1980055433.4913704,135368577.50868014,9138478067.601768,415445402.679926,766015701.9521801,170093741.13871312
AUS,JPN,2022,4222211063.086888,44237127443.55559,2029604416.2601843,151071260.81027254,9230677124.879698,451395540.44645154,789577306.1216757,19890660.8392442
AUS,JPN,2023,3508046356.8479347,26995291723.40617,1687630212.488207,125011162.739343,9856197784.99416,400812853.13455176,804796384.9758931,20513169.41374176
AUS,KOR,2021,1861502829.7232733,14647673901.64248,1328538752.6329937,914000864.7535356,2292425106.974594,205506895.7835596,314941443.63360983,218216732.8559536
AUS,KOR,2022,2120527871.3894804,19574003450.44503,1558561308.6765845,642736443.3222353,2673343621.5129485,236557568.2958389,671784464.3732979,16993815.984584026
AUS,KOR,2023,1691774362.6723175,13696468400.24517,1300195254.852411,421050409.6668546,2215185686.622172,154202616.756198,259288150.46059808,10838382.724274902
AUS,MYS,2021,665898471.5680456,2688269418.3195586,926755514.2560892,156734324.5720807,123068468.97143784,437315509.8132358,152475096.39194137,58493372.10761045
AUS,MYS,2022,877650387.0318161,3827536099.0242047,1348078839.767527,174167315.59506336,188272563.8453588,574686320.4441553,226892264.899342,3880241.392532687
AUS,MYS,2023,527992179.9416816,3420934045.7914286,876664422.6040255,138574253.973687,122489179.18742228,324087694.5981052,174132627.53578302,2103900.3678674903
AUS,NLD,2021,533375691.9394021,787771620.766607,198366530.2810705,16538377.974940674,243894761.04016992,57530496.74355718,245397299.38769045,125661541.86656204
AUS,NLD,2022,966328679.8419064,2372987747.250404,357564153.9295917,29937443.51469194,215869778.49602875,77684353.08087786,396982688.7840948,9247139.102404026
AUS,NLD,2023,574805736.424668,1148453331.7412484,219551381.4793359,25674526.817079578,205832800.92760515,108388781.13491207,300758160.3613979,23420401.11375297
AUS,PHL,2021,1266268265.1564145,485832951.1912284,314169069.02338463,52361783.88919902,127192395.04610254,161758742.02702326,111335745.84013854,49696471.82650922
AUS,PHL,2022,1540241305.0027204,414334306.5280184,251953718.40680364,72602671.626432,115434154.8529784,139576393.30405593,121694527.18414456,51513963.09484686
AUS,PHL,2023,1268376521.653109,483333368.7112272,288033534.677679,90544677.09522334,105195718.08350274,118519109.09916689,179225841.77860218,32824860.90148926
AUS,SGP,2021,1220827417.099465,6707961347.57618,328315857.749002,1545411767.7967875,155384310.0655424,516239048.8291239,572542344.8151422,226761234.0687565
AUS,SGP,2022,952438004.1743096,6362278162.459294,289817093.9382478,1373470821.9650972,291588480.9967891,458603658.0390513,526643830.4288307,16702219.998379745
AUS,SGP,2023,795225855.4415509,5433323808.140591,315500883.96228373,1025173837.7430974,244592994.6076476,342819477.3650818,451494439.8316219,12775198.908125732
AUS,THA,2021,523815246.45134175,407380390.8149092,792527873.5287336,322283098.4128882,1830110123.131332,120886385.6785682,146814132.94954693,59539933.032679886
AUS,THA,2022,567509781.5752869,342020662.86372006,863486716.4070852,323008650.57766616,1832316843.341192,159470267.23636764,179620498.57463327,4131635.424048984
AUS,THA,2023,625216911.2467296,590746500.0135099,671560636.1368401,160439211.84997293,2123013906.589314,135264751.1297469,171851375.9699209,2873875.063965525
AUS,USA,2021,1724113371.5580375,926613628.6940956,1453960752.6474862,694588101.2190266,2109311965.9651928,577715424.4575431,1774181035.1409807,887713096.3176371
AUS,USA,2022,1830526053.881937,1187362461.7766645,1681477938.7492716,673455598.6727159,2425739015.848897,626196329.3878164,2143882285.2871528,135702332.3955424
AUS,USA,2023,1759612337.1877947,1116853430.7230556,1465050978.6450803,880208492.2769568,2443999252.842966,630592650.7534525,2006392856.8404083,101296912.73028438
AUS,VNM,2021,1361909404.7982268,1886069282.5159144,895929238.7703643,825688660.8154483,308060198.2655448,525715529.68469447,166851852.2040276,576236504.9457797
AUS,VNM,2022,1302870949.290019,2710992247.801845,812269949.8573552,1143175977.1240158,309260380.7433948,1001351036.8316804,199311538.2091178,3222448.142571742
AUS,VNM,2023,1139002106.6543217,1849914045.1103663,635512146.7163905,914768032.5926962,261580513.99219385,893109634.8018097,135683593.4143156,1536998.717906222
CHE,AUS,2021,137893094.69285983,47151730.33688669,229133703.30655745,520341321.25173175,85037636.22489293,21463872.707022488,927673193.2428375,35565672.23721112
CHE,AUS,2022,105802429.58509196,27736793.249724768,124332848.12735686,1145456908.5947127,41680181.262544274,14037515.93736336,611182731.5304301,12815839.71277567
CHE,AUS,2023,67889532.41073118,21265899.20368952,86505397.92099494,1398695785.9881191,54965658.96897844,13217805.98936662,464874651.9198338,7281331.598286392
CHE,CHN,2021,358773194.58768696,1477194260.970937,2902987889.7316303,12668762209.318708,707755225.9123384,1633120638.4955115,6552845487.073739,1045025861.909446
CHE,CHN,2022,427875630.6623723,1940973213.6127844,3970633727.4141135,17069045332.954782,1203904245.090422,3417883258.80771,5891915714.18217,75289773.27564418
CHE,CHN,2023,502597229.9623868,1917870641.612336,3627781331.225423,17379199285.02731,1129877174.3971217,3148133003.0355225,5939792380.281354,63405594.4585442
CHE,DEU,2021,2192662232.555344,6554359278.476018,10699626991.270897,5851232670.914898,4503698599.715978,1396786945.604688,12984510187.952211,1571908885.5099547
CHE,DEU,2022,2035737205.351814,8371989156.108763,9760428253.373426,4619283245.920036,4702492685.091708,1469403113.6353664,10154380199.901537,227926844.6173465
CHE,DEU,2023,2159103464.520757,6200120584.775251,9563065197.743746,3710907877.741847,4927484431.000366,1439345994.4933715,10111930922.121675,246647351.60298264
CHE,FRA,2021,1320185553.18306,2089273336.875568,1835843924.6659672,4344287651.465956,1006777295.3602738,322711979.7213998,3638109122.069951,1206982912.657825
CHE,FRA,2022,1303532475.7794096,4044488378.696525,1804722858.8764472,4060776940.142285,1354022822.0173948,345825271.0275969,3378093493.887157,73196447.5731865
CHE,FRA,2023,1311793626.1221452,2819619063.5927243,1786948663.8578022,4070187895.794383,1421284099.5506997,310151266.42397463,3282757263.0549765,71246729.60329638
CHE,HKG,2021,53934852.30192104,52842224.83947934,181335504.45972475,5764157943.447155,62147676.50305791,143386870.59497887,1993804930.214236,210495085.63944656
CHE,HKG,2022,42914330.18610843,36483222.17256609,142677346.59633866,3823123871.4545794,49186241.18587027,161925424.3633745,1453985981.3399577,6571166.701204982
CHE,HKG,2023,45612081.39373836,38790986.358918026,142134634.66326562,8797821417.557951,56274912.43172703,131120238.73677848,2085988402.685454,6970542.172167469
CHE,IDN,2021,14471087.572816316,14983643.571776034,30957552.027864035,181302321.0564173,10469875.873671612,5676549.554712266,31933269.76295828,9130980.579784138
CHE,IDN,2022,11975706.780216698,10446041.569166437,23595840.98150608,246026181.1548734,7877364.762309146,3551720.4437118005,22618831.55203712,4269976.7561793
CHE,IDN,2023,9883490.676780574,7918522.199959183,19581791.67786111,262865805.29720104,7969484.531300747,3284235.087180842,19979217.08188064,2424621.4478358445
CHE,IND,2021,125945026.50423652,716691132.8100487,433923078.9593704,23923721003.558388,121840149.33006398,50568084.04263762,571704917.1024339,88090959.6928236
CHE,IND,2022,175690431.48514804,858203816.924783,638020126.6992108,8987620020.010767,202427814.0530358,59475646.00550024,533956279.8097144,20046505.011842355
CHE,IND,2023,167285603.51976576,918887120.9284536,608198847.1057516,9940626667.939878,183518548.55276,119596313.40955546,582907743.363248,16675411.180585556
CHE,JPN,2021,182431108.6508512,434186131.6537435,587199620.5418208,818580760.4792067,270362158.3890359,171118320.06996274,4419533580.838944,162129695.3764361
CHE,JPN,2022,164265045.99073353,483368033.0925116,561190905.4524282,1247620521.7521763,369771106.520768,207065537.3141212,4511265583.495348,26817618.38191255
CHE,JPN,2023,133714217.00937188,415554241.2701322,423444175.3741198,1490279124.1080372,416893875.17990017,161802254.739021,3328056589.710045,19442594.609372977
CHE,KOR,2021,131613851.49953055,210198152.4420901,314182959.09848374,344875082.4610097,157922630.40844688,70288958.92435703,1670689574.029288,118113463.13679376
CHE,KOR,2022,107237660.84908116,219232819.6288989,313505942.7088291,343359039.8097958,192535965.0087004,92409585.23981488,1620721674.987627,14584127.767252944
CHE,KOR,2023,100688940.58054616,183338438.079184,247816420.6589965,292444184.0523397,232130996.68455195,79268405.04994494,1527785742.3341732,11432728.56026318
CHE,MYS,2021,32440465.88489676,30435322.310436595,174563967.52203774,502506618.8101216,23362161.57857719,161400168.92622972,265919873.49389592,32607645.47380439
CHE,MYS,2022,31866808.71649884,37047181.96832688,199056189.7900764,345406552.42848045,31387194.39736,199762843.22771552,251621183.23152512,10854286.240016744
CHE,MYS,2023,25577684.16307573,30835457.87277867,170373098.36060902,343348184.4218042,25828600.50479748,152177416.4082655,209946051.8858412,8972066.382828116
CHE,NLD,2021,563167158.4198717,579257241.8392962,963109290.1094134,213683015.07806915,396628129.95306784,247238364.51214984,2884222954.0504827,296635478.03764844
CHE,NLD,2022,577269654.0117798,686691549.6022013,906970845.3998812,168113716.97103044,398289886.4153122,349662056.3204502,2416804329.3057685,32248137.97357651
CHE,NLD,2023,553173183.0492346,749150483.2952161,833661646.1968279,140376165.58728713,437828115.2612708,405304383.6291331,2192798120.271749,34681086.70928101
CHE,PHL,2021,17013830.13957927,9613502.519895185,28113226.25755024,97782965.98892966,5283760.29230199,33142468.48830612,70711669.36598381,17961776.9474537
CHE,PHL,2022,4099953.706088322,2161813.5761962645,8188467.783622085,233797450.4376185,1367457.5517386163,13410246.351441162,12735143.203043506,249291.3902515637
CHE,PHL,2023,9266776.419285782,3566124.571882195,12564948.081750091,198212521.598865,2401376.9802327594,21742765.65452455,29007905.30670779,299725.3867518123
CHE,SGP,2021,57162246.22183361,1904414783.769005,285902805.5913706,1809751050.197404,72461944.32176425,55784544.521373376,2432527764.02686,93875565.35038806
CHE,SGP,2022,57609042.11643904,1456993816.9047062,277951146.97912115,2895369368.599362,67614528.01141189,78864499.27724685,3045041892.618241,70625465.49347183
CHE,SGP,2023,44958695.60765815,1362025976.2814665,229027909.5530224,1970039253.6310024,59773481.99317691,78837709.03624299,2615584780.901749,57168384.99568084
CHE,THA,2021,90801866.3775316,40676454.91437564,144860794.19288337,2627337385.5967927,92615363.62106666,112514981.29591744,408670750.3439159,47980835.65751668
CHE,THA,2022,112401497.4936825,53848437.829329625,149873415.00270048,3937714437.629295,140181706.3217242,157063478.23252153,364389422.3104785,7606773.180267542
CHE,THA,2023,76954997.29119197,50121735.83211292,123666412.44670177,2289148030.129433,129147858.4865357,119176796.46964084,332001249.7630532,3597831.5813308368
CHE,USA,2021,1982600767.6234035,2254868712.731644,3864463313.696899,13501437022.586706,1414989424.6148713,545557632.1018374,27356608532.88224,1287549345.7624097
CHE,USA,2022,1409783778.0886984,2615290685.446285,3192908957.4643683,18230775483.524204,1708293035.3690145,704441964.10406,22397476577.05036,173557902.9530136
CHE,USA,2023,1490007416.3055604,2753145288.6078296,3197023528.678047,13569484027.97192,1896573465.720692,683995294.9482753,23354512129.108906,140740832.65877238
CHE,VNM,2021,25916990.22765504,13655069.925522164,51377250.32550933,124914332.8030672,22830633.89169268,55822381.50646895,66227564.02952536,78371649.29055926
CHE,VNM,2022,32326154.94427925,6299273.604081067,46640806.34687657,136204718.30677798,24658125.57243675,97879303.0671596,40030367.83009223,3144930.3282965315
CHE,VNM,2023,30382412.21885317,5581134.446614798,47521699.280058585,168803469.739187,25412285.65598366,84279535.72167565,51491112.590428814,1448414.3471983185
CHN,AUS,2021,2438925590.5061283,33885602409.52815,7098320804.825231,4595662072.233571,2076232887.6908329,2034826692.9511256,1257032062.287741,1792743399.9772215
CHN,AUS,2022,3527462860.3202457,31566864921.85273,11111528032.173864,5506700226.403211,3236361987.7126994,3620961117.898512,1981008824.1148243,266339805.52390715
CHN,AUS,2023,3170674386.847742,29421407251.344807,10444861471.692877,5490450918.377839,3153514477.5646315,2924192815.4424973,1525028944.2435937,344653478.4860085
CHN,CHE,2021,67882938.6551359,321619489.8059978,526001848.7919218,2781717375.394809,174042067.1211481,128643031.3516426,1047699332.9150923,126450363.96425222
CHN,CHE,2022,65402311.11670985,317875294.4911337,479103271.58900976,3686907064.6546807,170624192.0332733,183490486.40319,920054921.7665192,32090361.945482288
CHN,CHE,2023,58659368.81188474,227622142.0946419,321032233.3403801,2824675479.9080195,69461658.66925448,106410728.89207809,678518381.7874615,30664230.496279243
CHN,DEU,2021,3458710512.107669,9623988695.435127,25135778203.183884,6516663473.908821,21235727315.77987,11029549384.510754,12801572590.98132,5869789152.0925455
CHN,DEU,2022,2963652678.292869,9870670767.554665,24644359536.729603,6287711890.445073,21379877921.08849,12221921656.67766,11403859900.400894,711193264.8107493
CHN,DEU,2023,2634586168.268467,7876319078.993725,20849740314.09822,4896765691.969698,19328503275.651035,9590138947.70162,9819575026.334152,642278952.983074
CHN,FRA,2021,3586624912.6240587,2375863469.825517,8136821359.695769,4427239496.317549,7105172793.742334,2939190034.529469,6277139961.093154,3725733060.1721487
CHN,FRA,2022,2864796073.6183624,2595042611.834213,8079886373.321721,4364561910.719299,6929045436.712517,3469519474.99374,6474430685.489489,697309177.310663
CHN,FRA,2023,2815941521.846302,2122962824.9321675,7252556723.722408,3630337631.376444,6709013480.518358,2813381617.3133664,5372592541.279736,910639451.0112176
CHN,HKG,2021,9112763859.893854,10266464989.407677,43431879789.89137,25798594579.96444,16741111041.958046,120240533664.66528,14171242490.330635,52098970927.88874
CHN,HKG,2022,9021197145.30673,12118186402.056557,34437035496.77287,22341711147.88015,12225244258.361477,130833015183.03174,10922080316.705597,901638593.8848866
CHN,HKG,2023,8461026347.04662,10698869365.535551,26591354555.121937,25981169437.843285,11570907327.410397,115043467113.01051,8473426959.022653,1669111631.009015
CHN,IDN,2021,5398681352.7628765,16514284985.322912,8513932187.668278,3730320914.224869,8893789998.282907,2372420621.5782094,1846824047.7919807,3118119396.367967
CHN,IDN,2022,5520890185.011906,17325648079.13606,11493217942.64031,3811388029.631409,11340099752.63844,4008964405.7449017,1438086873.7275906,119039003.46937792
CHN,IDN,2023,5220131351.787925,15373342845.314137,10715809596.62519,3024362326.001725,10097732833.55438,3454824772.164128,1272498660.265569,138377934.28694683
CHN,IND,2021,4708481284.076496,16687050323.376287,18998276248.27449,8728193991.639399,6842163897.1337,11733944503.219233,5060976233.787209,8239256174.493174
CHN,IND,2022,4935456825.172054,17725319908.82648,23231696738.56192,8834440136.720484,8726756803.960663,22963451122.38034,4948770675.755452,86261644.62260635
CHN,IND,2023,5025940848.83989,16918669883.282318,21353144360.184963,7957913373.389825,8657195501.803642,24028779453.55839,4702235751.313992,112828155.6269708
CHN,JPN,2021,5127759638.328436,17807745138.277096,37214258759.79013,11165634450.202711,17487977173.04285,27425469688.292244,12302293960.5026,9167566599.563929
CHN,JPN,2022,5252711085.524937,18258166771.67908,36575904583.056,11621023916.214344,17140495242.634602,32149627335.79449,11420374800.526184,865831176.5703658
CHN,JPN,2023,4885060052.308943,15810012585.88914,31233248456.827248,10177055750.7116,15014748924.08047,30474221534.562782,9704319494.94513,979452624.6746927
CHN,KOR,2021,2833218366.107062,20398547636.226944,21176306864.695,4819736816.16888,9802872539.60325,51679075092.67944,7902517932.269756,6347493328.249662
CHN,KOR,2022,2970216547.0514407,22897246299.377327,22503918989.25493,5247047800.155225,10491880039.3203,56454189472.28931,5290291950.266267,485206598.28519225
CHN,KOR,2023,3124290217.9130487,21411402920.612514,20272842177.57387,5135785518.963245,11702257849.38164,45934441381.69135,4436682276.749218,926679609.1150998
CHN,MYS,2021,3372387263.982839,14897839707.58924,11600299725.403076,3235886862.8741856,3598333424.666339,22719767786.263927,2464024391.98364,3613660645.236739
CHN,MYS,2022,3800095714.901119,20409852776.329742,13454331656.683365,3553297258.061514,4043775441.9105487,24540510861.09999,2639092390.782668,801102652.2310519
CHN,MYS,2023,3287425804.9899483,21820486065.472363,12429792708.472055,3399307069.1591296,3767070808.974378,19062654679.690296,2407890430.8000183,1146163472.4418097
CHN,NLD,2021,4984968603.016331,6448196361.718105,15782092871.331411,5385854090.36257,5087720219.816269,26141678801.643417,5826298125.328304,15403159950.783592
CHN,NLD,2022,5062854382.987573,9395371517.141428,17321339143.297783,5652739103.039858,6992616714.889752,39259238903.5314,5463934996.146164,1465239254.9660244
CHN,NLD,2023,4105569645.647472,6720224556.772733,14189362890.602625,4099274782.6136312,6691217899.931745,33360216790.45529,4462955445.328651,1710241284.6478567
CHN,PHL,2021,2532775293.6673284,6331339079.078208,11595963112.17026,4906997771.6738205,5618168514.94704,11391717428.483454,1785782030.7643006,3326907457.2155914
CHN,PHL,2022,2590784938.340464,5785797926.397015,13517672341.998749,5481791564.192286,7735751373.341132,12118433289.863749,2181562341.393857,561286288.4727497
CHN,PHL,2023,2335829955.1917844,5578027504.318978,10911472649.969477,4166823629.2083,5469294502.707458,9397152833.429918,1965557678.1524267,591138783.0216545
CHN,SGP,2021,917766738.080464,10760620781.265787,6452382046.001011,2389920322.514277,4280949030.832634,14772535030.721449,2267173937.680071,3841499856.904298
CHN,SGP,2022,1292332359.9534962,13885492878.870958,12179957481.90889,3702122545.0173855,7982279423.880674,18830281828.99603,3894770727.5339727,1376362881.8385844
CHN,SGP,2023,1276676245.677355,13228794036.962772,10938808325.937454,4855054384.688497,7702948702.748048,16504492161.308369,3665924956.7643337,1353424705.9131713
CHN,THA,2021,8790151413.535915,7885425966.148067,12830918828.3938,2805481507.165372,5549878676.318923,13068703491.435308,2462442767.3224354,4197150565.6801767
CHN,THA,2022,9244492820.84334,8618730101.781036,15263093845.556805,3550201229.063144,5966183356.65304,14759263873.491396,2671483003.6053543,605764825.0058867
