Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Aruba,2022,Exports & Imports,2685,649,58.15,13.95,,1541694.93,68369.12,0,0.01,3.93,2.08,3276,16.58,79.98,0.15,3.3,274.5,0,1.32,31670.45,21450.4,9.09,5.86,172133,65.75,29.95,50.09,175.89,1487.24,0,10531.24,53120.85,0,2
 World,Afghanistan,2022,Exports & Imports,2897,1594,62.75,34.26,,7483942.1,1627123.45,0.01,0.03,3.25,2.53,14366,23.75,74.55,0.1,1.59,513,0,12626.94,990317.27,532835.68,10.16,8.28,387628,69.71,25.53,21.27,107.16,3000,0,996262.85,1523152.95,0,33
 World,Angola,2022,Exports & Imports,3938,1810,85.29,38.91,,14629831.87,53133765.87,0.22,0.06,2.26,0.45,9905,17.25,81.76,0.19,0.8,274.5,0,49364124,64508340.27,303043.91,9.43,2.43,375928,67.77,27.67,28.32,144.79,3000,0,62084474.18,64811384.18,0,41
 World,Anguila,2022,Exports & Imports,1288,451,27.9,9.69,,287283.63,31882.18,0,0,5.64,5.82,2143,62.44,34.02,0.14,3.41,45,0,138.89,26010.63,1255.09,9.64,8.64,120892,68.05,27.44,50.35,204.34,1355.58,0,5893.03,27265.72,0,6
 World,Albania,2022,Exports & Imports,3857,2341,83.54,50.32,,7328704.93,4350216.69,0.02,0.03,1.88,2.41,39370,18.95,77.69,0.18,3.18,1068.23,0,1275810.62,4214467.1,2978765.23,9.59,9.12,598506,69.14,26.58,11.51,53.46,3000,0,4491113.91,7193232.33,0,12
 World,Andorra,2022,Exports & Imports,2960,1331,64.11,28.61,,1856259.43,124095.78,0,0.01,3.54,1.37,11909,25.19,69.96,0.22,4.64,272.57,0,83.81,148572.02,35807.26,10.06,7.57,337942,69.5,25.78,25.05,108.89,3000,0,75458.99,184379.28,0,4
 World,United Arab Emirates,2022,Exports & Imports,4468,4441,96.77,95.46,,264799490.2,348553236.2,1.43,1.15,7.05,3.03,215497,62.92,34.34,0.73,2,1351.25,0,40464853.38,353578253.9,1189966.91,8.83,4.62,1091725,66.93,28.67,3.37,18.93,3000,0,207795510.5,354768076.1,144.81,10
 World,Argentina,2022,Exports & Imports,4143,3586,89.73,77.09,,69574638.39,91351744.54,0.37,0.3,3.61,8.55,97284,39.51,51.86,1.68,6.94,1156.35,0,13468456.68,91680269.07,4513283.1,8.97,11.36,904731,67.18,28.22,6.39,36.42,3000,0,68407337,96193536.81,15.37,15
 World,Armenia,2022,Exports & Imports,3680,1791,79.71,38.5,,6434446.8,3198256.03,0.01,0.03,1.67,0.68,23015,15.25,72.04,2.16,10.56,754.3,0,82431.04,1138843.93,1951520.35,10.26,5.35,472138,68.98,25.54,19.64,92.7,3000,0,1960822.79,3090364.27,0,11
 World,American Samoa,2022,Exports & Imports,1105,830,23.93,17.84,,239628.5,20024.23,0,0,5.72,3.22,3807,65.41,33.7,0.08,0.81,274.5,0,11.47,16366.91,2767.61,9.32,6.44,167422,70.24,27.34,23.01,83.16,1487.24,0,10154.42,19134.52,0,2
 World,Antarctica,2022,Exports & Imports,581,287,12.58,6.17,,33209.38,14194.02,0,0,3.86,2.02,1510,29.47,70.13,0.07,0.33,754.3,0,1.49,7572.31,8006.45,8.56,5.52,84120,67.15,30.4,20.99,115.89,1068.23,0,2402.7,15578.75,0,1
 World,Fr. So. Ant. Tr,2022,Exports & Imports,600,154,13,3.31,,18747.21,12484.13,0,0,1.3,0.11,1068,6.46,83.61,0.47,9.46,50,0,1.92,375.02,23252.32,10.22,10.83,58053,62.53,28.24,58.71,442.7,1355.58,0,20024.25,23627.34,0,2
 World,Antigua and Barbuda,2022,Exports & Imports,2460,1230,53.28,26.44,,1723978.55,227054.45,0,0.01,5.69,0.81,5689,24.54,64.48,0.44,10.55,274.5,0,136.42,62408.72,219854.29,9.39,5.15,262232,67.69,27.41,47.11,178.78,3000,0,183229.33,282263.01,0,12
 World,Australia,2022,Exports & Imports,4451,4326,96.4,92.99,,280939030.4,443804643.5,1.82,1.22,4.68,2.31,214001,47.56,46.81,1.11,4.52,1766.5,0,50207269.51,442474740.9,8754825.28,8.77,4.73,1071081,66.88,28.71,3.33,18.72,3000,0,387273856.5,450907099.7,322466.54,25
 World,Austria,2022,Exports & Imports,4516,4501,97.81,96.75,,209216070.2,205386526.6,0.84,0.91,5.08,4.98,161791,39.91,57.54,0.32,2.23,3000,0,10254687.01,56696977.41,3255498.33,8.66,7.82,1007526,67.05,28.64,4.11,22.78,3000,0,17830025.3,59951774.12,701.62,29
 World,Azerbaijan,2022,Exports & Imports,3928,1745,85.08,37.51,,10062629.82,39112969.97,0.16,0.04,4.04,0.13,16368,46.43,44.4,1.48,7.69,604.85,0,34776006.33,36531463.22,33804431.39,9.48,2.75,462891,68.53,27.07,24.38,99.99,3000,0,68467776.96,70335894.61,0,7
 World,Br. Antr. Terr,2022,Exports & Imports,,5,,0.11,,,7.76,0,,2,1.73,10,10,90,0,0,10,0,0,1.34,6.42,5.54,3.82,1279,61.38,38,0,80,50,0,0,7.76,0,
 World,Burundi,2022,Exports & Imports,2612,542,56.57,11.65,,783927.38,118063.88,0,0,1.78,3.85,2323,15.45,84.33,0,0.22,45,0,0,62635.33,19155.32,10.94,14.11,151681,68.79,25.82,68.7,283.6,1487.24,0,12429.71,81790.65,0,41
