Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Aruba,2020,Exports & Imports,2658.0,901,57.59,19.41,,774496.36,155876.27,0.0,0.0,5.5,3.31,4777,21.75,77.18,0.1,0.96,320.62,0,28.56,99779.79,10238.22,9.27,4.06,243026,70.64,24.63,54.3,186.25,2739.7,0,89501.56,110018.01,0.0,11.0
 World,Afghanistan,2020,Exports & Imports,3348.0,1510,72.55,32.52,,8712275.27,1821493.5,0.01,0.05,4.37,1.77,17563,21.42,77.69,0.26,0.63,754.3,0,132076.61,1150591.95,1105612.55,9.92,8.7,557901,70.41,22.06,26.58,212.61,3000.0,0,1350061.25,2256204.51,0.0,39.0
 World,Angola,2020,Exports & Imports,3810.0,1465,82.56,31.55,,7582954.07,23900296.0,0.14,0.04,5.58,0.98,14091,18.79,77.84,0.03,3.34,274.5,0,274.49,24865074.2,89823.96,9.2,3.19,518296,67.77,24.73,43.84,231.97,3000.0,0,20855672.42,24954898.15,0.0,31.0
 World,Anguila,2020,Exports & Imports,1119.0,426,24.25,9.18,,149450.46,34420.44,0.0,0.0,5.19,4.22,2494,36.61,62.47,0.04,0.88,232.3,0,0.96,26474.01,8008.18,8.61,6.42,173487,72.33,24.46,71.01,152.49,1167.01,0,3352.98,34482.19,0.0,16.0
 World,Albania,2020,Exports & Imports,3801.0,2090,82.36,45.01,,5245673.96,2472225.99,0.01,0.03,1.89,2.71,48178,15.16,80.03,0.06,4.75,1331.46,0,159348.8,2866461.28,1389796.73,9.21,10.03,751142,71.08,23.25,14.61,73.73,3000.0,0,2014083.34,4256258.01,0.0,21.0
 World,Andorra,2020,Exports & Imports,2838.0,1190,61.5,25.63,,1539137.82,100453.74,0.0,0.01,3.97,1.08,13718,17.6,75.49,0.02,6.88,820.34,0,23.8,105401.8,52508.88,9.63,7.27,446649,70.33,22.27,34.52,206.38,3000.0,0,46791.69,157910.68,0.0,9.0
 World,United Arab Emirates,2020,Exports & Imports,4471.0,4427,96.88,95.35,,180619589.3,177676035.7,1.02,1.05,6.39,3.52,251621,59.55,36.69,0.99,2.77,1545.16,0,38172983.32,186045280.9,420390.19,8.62,5.95,1468620,69.37,24.69,4.55,30.14,3000.0,0,91337129.58,186465671.1,0.0,30.0
 World,Argentina,2020,Exports & Imports,4110.0,3550,89.06,76.46,,40008609.4,60385794.91,0.35,0.23,3.72,11.77,121201,46.04,40.38,1.74,11.84,3000.0,0,7298438.35,65802564.2,2756250.3,8.85,12.99,1228444,69.42,24.09,8.55,57.24,3000.0,0,21367371.82,68558814.5,0.0,73.0
 World,Armenia,2020,Exports & Imports,3681.0,1843,79.76,39.69,,3549852.89,2772870.16,0.02,0.02,1.52,1.36,32863,10.33,72.38,1.46,15.84,630.0,0,371132.2,1282240.39,1947587.03,10.1,8.09,700209,70.59,21.29,21.55,151.36,3000.0,0,2416410.29,3229827.42,0.0,20.0
 World,American Samoa,2020,Exports & Imports,905.0,506,19.61,10.9,,133591.82,20467.71,0.0,0.0,6.41,3.82,4937,61.9,21.53,3.16,13.41,125.57,0,41.45,15766.2,1869.6,9.17,5.47,216312,70.21,22.22,54.89,276.87,1331.46,0,1176.78,17635.81,0.0,3.0
