Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2011,NLD,PHL,6.072193325215447
2020,JPN,MYS,0.0146305655955512
2012,THA,VNM,5.220064793428781
2023,USA,CHE,-0.2856437740212515
2013,HKG,DEU,2.4955058424048726
2017,SGP,MYS,-0.1800278775613515
2021,SGP,ARE,0.8693863887138042
2019,SGP,VNM,0.5610354415351251
2014,KOR,JPN,2.3112859355272217
2017,SGP,VNM,1.183478607432893
2011,CHN,IND,5.859818730353021
2017,DEU,THA,-2.034427370960578
2016,USA,ARE,-0.9912382042945134
2020,KOR,HKG,1.0230769246504794
2020,DEU,KOR,-1.7337079416380878
2012,KOR,SGP,5.6436918103021085
2021,FRA,ARE,0.6504120920381457
2017,VNM,THA,0.3100568068842175
2020,FRA,VNM,-0.907995615466956
2024,USA,CHN,-1.8689057575025552
2016,JPN,PHL,-0.5250888907099508
2016,IDN,FRA,-2.3394265463779624
2007,MYS,ARE,6.579857911438784
2021,VNM,CHE,3.045937225299708
2024,ARE,USA,-0.2830595287030186
2014,IDN,ARE,2.1102735632060967
2017,MYS,AUS,-1.1361641623269767
2006,ARE,KOR,6.321920422790389
2021,CHN,HKG,0.4847705911530548
2016,JPN,SGP,0.6744669845253037
2022,JPN,CHN,-1.3800852309954297
2015,DEU,CHE,-0.2487055030436612
2009,PHL,CHE,5.149712078390704
2019,NLD,IND,0.7964632408171047
2016,CHE,IND,-0.4325996405832461
2006,CHE,CHN,7.13309304065019
2024,THA,CHE,-0.5879639439662658
2019,KOR,VNM,-0.5828294310079468
2009,IND,IDN,5.319127308534106
2017,DEU,CHE,-1.850391992921914
2007,USA,MYS,6.048758132764351
2011,FRA,IDN,5.831887700287178
2016,VNM,USA,-0.980827059592127
2020,KOR,FRA,-1.373323473038298
2017,PHL,FRA,-0.8743099095125597
2011,FRA,MYS,5.637545126976027
2015,KOR,VNM,0.7512316599633032
2014,JPN,ARE,3.790250127515036
2021,IDN,JPN,0.1176929217452317
2024,IND,PHL,0.25280277610759
2007,DEU,NLD,5.341702672774741
2008,KOR,ARE,9.67736882673127
2021,JPN,SGP,-0.075537155237798
2014,JPN,FRA,2.7582062660442106
2008,AUS,ARE,5.725279807562913
2006,DEU,VNM,8.513513513513534
2007,KOR,JPN,5.6048924460364775
2012,KOR,DEU,5.166553209641769
2024,JPN,CHN,-1.3305736779423925
2024,CHN,USA,-1.941305990146192
2009,CHN,IDN,5.999429432062286
2009,SGP,USA,6.265988980849372
2007,SGP,MYS,6.092750215081421
2016,HKG,NLD,0.4
2024,PHL,KOR,1.381669476883013
2010,CHN,CHE,6.056180224433922
2007,FRA,USA,6.108030215524656
2007,PHL,SGP,6.0639769992779815
2021,NLD,SGP,0.4747706401665332
2007,IDN,AUS,5.192611739039486
2012,KOR,CHN,5.106161309166818
2008,CHE,IND,5.998025567366771
2008,MYS,CHE,7.35155969464066
2007,IDN,THA,6.087404999802678
2013,KOR,IND,1.8880793486199592
2010,PHL,FRA,6.44584051257941
2009,VNM,JPN,7.340184778409937
2016,IND,SGP,0.5688599491861207
2014,USA,IDN,2.2403240680104446
2023,FRA,VNM,2.5089204270031975
2012,KOR,IND,5.142425879073359
2012,AUS,IND,5.549717847644536
2020,IND,USA,-1.0947903115551183
2020,JPN,DEU,-1.545116465970486
2021,VNM,PHL,-0.8788164297412092
2023,IDN,KOR,1.8622271433016713
2020,AUS,USA,-1.4777798899409385
2007,HKG,CHN,6.115291058048098
2023,THA,KOR,0.691971729470564
2011,FRA,PHL,5.83824207478429
2011,PHL,IDN,5.7355001930979475
2010,PHL,IDN,5.1208263580247655
2013,PHL,KOR,2.658253981762305
2014,MYS,KOR,2.3992525833039324
2011,KOR,PHL,6.269415660831076
2007,DEU,IDN,6.35316700700262
2009,PHL,THA,5.385089541882544
2007,CHN,KOR,6.061678934186424
2019,SGP,ARE,0.8467711256357928
2022,KOR,IDN,1.1808485183846458
2007,JPN,KOR,5.556261745178852
2015,AUS,USA,-0.4252339216510503
2012,JPN,MYS,5.4283039500444135
2020,CHN,JPN,-1.6417252736984576
2017,PHL,CHN,-1.0901589324169647
2011,NLD,THA,4.56148731840174
2006,AUS,CHE,5.300007797833924
2020,USA,VNM,-1.4882910391873037
2018,MYS,AUS,-0.9504498193828024
2018,IND,FRA,0.4353401924278268
2012,KOR,FRA,4.8554797569639545
2016,USA,PHL,-1.9962943382986031
2022,DEU,AUS,-0.7412586115585617
2006,THA,CHE,4.053037719762016
2012,JPN,NLD,5.074037210273635
2022,CHN,ARE,0.3398439547284047
2014,FRA,CHN,2.7805788281995643
2011,DEU,PHL,5.73339430751972
2021,SGP,CHE,-0.33348874439911
2010,CHN,USA,5.745725942877298
2006,FRA,DEU,5.5786078727076
2008,USA,CHN,5.734658143900069
2018,NLD,VNM,2.775674881540845
2014,KOR,HKG,1.7250040364523314
2016,CHN,DEU,-0.5697485804534994
2011,THA,KOR,6.412034282599288
2013,KOR,FRA,2.579456726935997
2013,THA,CHE,3.393694111423007
2007,ARE,DEU,6.682705874996575
2010,ARE,FRA,5.270266326808175
2021,IDN,KOR,0.4240976745416509
2024,CHE,SGP,-0.8258374696388838
2007,MYS,IDN,5.28396796982981
2014,CHE,KOR,2.9809570774414977
2015,IND,ARE,-0.4821361715133038
2014,IDN,VNM,2.534596170252478
2006,MYS,FRA,6.210411175968813
2020,IDN,JPN,-0.54517814713481
2018,SGP,JPN,0.703678491334074
2020,JPN,FRA,-1.146469311583591
2016,CHE,MYS,-3.871290159617104
2023,AUS,NLD,-0.3610336074092783
2013,CHN,KOR,2.3628532105894173
2009,MYS,NLD,5.066954794640286
2021,CHE,DEU,-0.3301989987643168
2013,AUS,MYS,2.845652656492587
2022,VNM,AUS,1.8068937472271565
2016,FRA,ARE,1.4227798457007574
2015,USA,KOR,-0.5278427795860579
2024,NLD,JPN,0.2115886136040853
2014,JPN,CHN,2.3212944236264788
2007,VNM,KOR,6.23045248602921
2010,IDN,FRA,4.672777648462258
2011,FRA,NLD,5.651875665350308
2017,FRA,MYS,-0.3497927945818352
2010,HKG,CHN,8.25000563737594
2020,AUS,DEU,-1.8209756710387048
2009,FRA,MYS,5.390227620316771
2024,KOR,AUS,0.4264503657426711
2019,FRA,HKG,-5.14018691588785
2012,JPN,SGP,5.502715144671959
2006,JPN,CHE,5.8469154326515556
2019,IND,KOR,1.3745718903738884
2006,FRA,ARE,5.693974911068554
2017,NLD,VNM,1.4491290876583267
2008,JPN,VNM,6.660343381242432
2023,VNM,USA,0.2868377788320613
2021,MYS,FRA,-2.0299174312734083
2007,NLD,JPN,6.8893701496572834
2007,USA,CHN,6.011987156393187
2010,USA,CHE,6.041302822597556
2011,DEU,KOR,5.264570585017613
2016,CHE,DEU,-1.0208093672362952
2023,USA,DEU,-1.2877582447353604
2021,PHL,CHN,-1.6702554962453393
2023,SGP,AUS,1.3282542763757366
2018,DEU,SGP,1.0411600978859958
2006,MYS,DEU,5.4200009585318885
2017,CHN,CHE,0.5649289872210538
2009,NLD,DEU,4.5120077585228096
2018,SGP,CHE,1.052481728311041
2018,HKG,JPN,2.8574858234109506
2018,MYS,NLD,-1.564657511245678
2024,VNM,PHL,0.0217145722474717
2013,NLD,CHE,2.4269019952447226
2022,CHE,JPN,0.8795553135025256
2012,AUS,FRA,5.738534306469829
2013,IDN,VNM,2.583299878471371
2007,CHE,JPN,6.907475762559638
2022,MYS,DEU,-1.509212013430977
2007,CHE,PHL,7.2963643061734205
2018,IND,MYS,-1.2589928494162796
2008,DEU,ARE,7.296836150748637
2013,JPN,CHE,3.112092159077117
2021,AUS,CHN,-2.6448378512789974
2016,AUS,FRA,-1.1505959358452893
2011,VNM,KOR,6.900064843935041
2011,CHN,VNM,5.805207784472766
2019,SGP,NLD,1.45042841596108
2007,VNM,NLD,3.64583333333333
2020,SGP,MYS,-0.5645591841901078
2007,CHN,ARE,7.288888272047487
2010,THA,ARE,4.60719921357756
2015,PHL,CHN,-1.9755242327307905
2009,PHL,NLD,4.4914818592399
2022,MYS,SGP,-0.3955057460430668
2023,DEU,AUS,-0.5913697929983363
2017,SGP,ARE,0.535382586909848
2015,IDN,NLD,-1.1629302496987737
2023,PHL,SGP,1.3366050281759898
2007,AUS,IDN,5.458612298717308
2013,PHL,CHE,2.89865334486584
2019,CHE,SGP,1.227553302701966
2014,JPN,DEU,2.6417799116596523
2021,JPN,IND,0.4008137410292176
2023,USA,IND,-0.8401542129356385
2015,THA,CHE,-3.4309448633437576
2006,AUS,KOR,6.17850185338848
2022,IND,CHE,1.0135283107348978
2024,DEU,JPN,-1.2782744724370767
2012,ARE,SGP,6.016167630951058
2017,AUS,IDN,-1.6577509794245104
2016,FRA,USA,-1.4166150766914003
2018,KOR,USA,-0.692729084716349
2020,USA,NLD,-1.435290420293748
2016,THA,DEU,-0.955133450053224
2019,ARE,VNM,-0.3169442178108724
2007,AUS,FRA,5.008890266167346
2012,PHL,MYS,4.929476105139052
2013,MYS,IDN,2.2545530937778326
2023,NLD,IND,2.4104489712355153
2020,JPN,AUS,-0.450657232559212
2008,JPN,AUS,5.250517497640231
2022,CHN,HKG,-0.4327148498372457
