country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B
AUS,CHN,2006,16785321984.0,15261358079.999996,32046680063.999996,533095077.8636364,4704876121.265198,3161135402.229838,2703659471.757762,942291989.4143986,1772321407.314741,595798231.954392,2372144282.2000375,450960943.1419186,6298488718.461886,3013948124.5198755,1844151071.341828,878765791.0737114,942929629.7307336,315053875.57051116,1517059926.1595335
AUS,CHN,2007,21672579071.999996,19437355007.999996,41109934079.99999,736611957.5322797,6164697528.261192,4314239660.563963,3235319740.706622,1397077899.8937032,2896901232.283149,974816398.666805,1952914654.0922828,568547353.2856786,8297824983.904969,4074457123.730516,2138041336.7601497,1088486146.1951857,1560052635.9125535,428044279.2557793,1281901148.9551663
AUS,CHN,2008,28150855680.0,23133890560.000004,51284746240.0,977011201.9697112,10447685495.669216,4994798795.504263,3325546806.182883,1531485118.5578597,3315306287.5398474,1097852088.7855918,2461169885.7906256,702390065.0917302,12213323205.014336,3745298477.738247,2013972490.1018257,1157644445.674991,1525809129.9221058,467747683.313789,1307705063.142978
AUS,CHN,2009,35174150144.00001,21697044480.0,56871194624.00001,1088211764.281707,15257259443.90249,5575270727.430279,3579185643.4163465,1926044312.203178,3678534730.5733023,1290993730.7666285,2778649791.4260693,598832130.2792137,11680331310.38759,3708745184.0907288,1711233494.1261697,972338920.2254668,1486067586.643473,464851118.8821176,1074644735.3652363
AUS,CHN,2010,54704295936.0,28044486655.999996,82748782592.0,1569952843.727998,27535925183.22465,7453179842.414971,5041719470.244914,2204082639.869928,5074904876.505286,1716256993.1429875,4108274086.8692594,715573382.6979048,16166401144.291285,4396225302.229948,1952430571.951288,1062285202.3128328,1707971030.995893,486515672.1106135,1557084349.410232
AUS,CHN,2011,74148970496.0,33906491392.0,108055461888.0,1957940723.5040743,39173257226.41588,8897280240.316141,7485772117.311767,3044408453.803855,6137509987.413883,2021580306.216044,5431221441.018357,832013129.9140017,19921614166.73241,4718528398.723219,2532223613.982266,1405215715.263782,1810517435.8010817,670122845.9512025,2016256085.6320367
AUS,CHN,2012,74478600191.99997,37006295040.0,111484895231.99997,2976809443.6102405,36022873118.00183,9209671921.89882,10359215741.954964,3443855163.2894087,6030121015.08788,2383591954.0375113,4052461834.119327,1524056407.5670352,20374681524.244972,4894549301.219376,2828890523.085773,1688309426.272901,1779787036.0630226,840157021.7031238,3075863799.843797
AUS,CHN,2013,88694341631.99998,36429225983.99999,125123567615.99997,4063184971.691241,45816644441.82708,10560426557.93628,12131168266.870192,3569951707.069366,6214442689.025315,2330807301.517788,4007715696.06273,1733261406.3633382,20961741632.591057,4639820382.586289,2546083401.5531764,1383653673.1239324,1609501357.0866218,725647167.5622798,2829516963.133303
AUS,CHN,2014,77003948032.0,37165879295.99999,114169827328.0,3507231022.112353,38775771437.617165,9906628477.891846,9849427546.985975,2979048248.403087,5855431908.377587,2089558105.3646128,4040851285.247376,2044768235.7722025,20852676144.517822,4793405567.623388,2418093849.6866894,1272160692.980602,1702759782.3643966,801211083.8463793,3280803939.208514
AUS,CHN,2015,57735581696.0,38361305088.00001,96096886784.0,3922999374.311526,22849805925.48077,9075006610.632557,8801470080.191652,2441040502.4641705,5008370413.408006,2051770268.9789257,3585118520.5323935,2909392845.6104193,18030551945.590485,5538850365.943862,5789958460.117653,1531049755.524876,1992485274.840525,1075941550.833963,1493074889.538222
AUS,CHN,2016,55946387456.0,35777515520.0,91723902976.0,3644376204.124837,25379773567.87703,8121944117.737694,5868273667.305276,2296058019.497224,4765467719.826402,2230415819.361473,3640078340.270064,2334526711.5163174,17970021991.516327,5002088609.195571,4800600458.331758,1310223790.2647424,1731193072.3971713,1074199901.2197316,1554660985.5583782
AUS,CHN,2017,70552436736.0,38365216768.0,108917653504.0,5552227594.12689,33386210774.836105,10709411696.74265,6038949501.995847,2670774748.446135,5927952953.464102,2563546204.717004,3703363261.671262,2642164630.2223687,20523274385.51937,5153971256.605675,4711583963.283471,1192063154.578467,1763713339.2798748,1008656798.4464116,1369789240.0643618
AUS,CHN,2018,78264147967.99998,42882150400.0,121146298367.99998,6046925805.631946,34939424979.05526,12012535696.511469,8257958940.417132,3261333060.1879616,6503081527.575396,3006198183.48353,4236689775.137296,2897066618.4392533,22699569142.04061,5675704709.581957,5568370501.983312,1510505155.317306,1933240213.385269,1116219330.2166836,1481474729.0356095
AUS,CHN,2019,91647549440.0,42331164672.0,133978714112.0,7006696071.084238,47576935333.63145,12131784796.800337,7225338873.011443,3497899966.241177,6599680542.826771,3333250581.5054126,4275963274.899168,2913511395.922718,24770202189.947437,4812869597.302173,4024963666.257449,1286427794.7842038,1759669329.2249508,1136369461.8873928,1627151236.6736774
AUS,CHN,2020,87471849472.0,46552961024.0,134024810496.0,5599834180.603331,45557878010.657814,11875432541.54036,5605879131.289285,3265386144.3420305,6502152087.477266,3079859603.8430653,5985427772.246851,2940870242.2244368,28309769136.459145,5928016355.073358,2606559250.7484937,1549603856.130191,2120646179.029913,1350083880.4890308,1747412123.8454263
AUS,CHN,2021,107711471616.00002,55179345920.00001,162890817536.00003,5357846574.48823,58401405778.545654,15130291265.35903,8863942258.784195,5032930807.329037,7368999924.283326,3219695539.490354,4336359467.7201805,2438925590.5061283,33885602409.52815,7098320804.825231,4595662072.233571,2076232887.6908329,2034826692.951126,1257032062.287741,1792743399.9772215
