country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B,scenario
AUS,CHN,2026,4086818245.2372003,5151101351.354137,9237919596.591337,567720446.7896544,152583231.04467317,2454481578.3494115,365327381.4979277,275576262.16228795,215376279.2435341,39893013.796545945,15860052.35316535,172892628.52552527,3583488307.923336,229865109.22256544,540399729.3974996,370658934.56257296,79360912.47106457,134586068.46998185,39849660.7815919,forecast
AUS,FRA,2026,87415889.3389893,186379474.38148662,273795363.7204759,3836010.3438576087,30876521.05516609,15061937.888721317,5486368.614072869,15877156.389524594,193060.50751295328,15727937.407818006,356897.1323158738,66303794.699531145,64582983.77800488,41930128.80499024,3666439.4184036246,1234565.2235425932,970536.8224233504,7282236.073147418,408789.5614433967,forecast
AUS,DEU,2026,120898106.58967064,564871178.1296568,685769284.7193274,23086800.40607913,24599767.046816446,34024038.757907405,4147482.0640136413,27263879.881681506,4368358.16463391,1459547.853090067,1948232.4154485515,86937233.60711901,230769006.42347282,31030328.8663462,4219473.187829483,122307525.07859753,26256017.92523416,57061058.65300816,6290534.388049373,forecast
AUS,HKG,2026,419137844.7391614,116665076.51169857,535802921.25086,23935971.99053803,1822582.455316294,16447555.579959046,335497591.6609865,3324402.5932770167,27793447.547798637,9732046.154869337,584246.7564164988,265459.2937607594,3062506.9628532813,1659442.1239345998,73380868.47484696,5202844.562505446,24083573.779502604,8737506.497864453,272874.81643047265,forecast
AUS,IND,2026,1455252829.276514,329584366.6608413,1784837195.9373553,79632669.22667938,1003897867.1240891,66223731.26838129,237196787.62958667,8520791.425633699,2683695.02816024,56213686.577199794,883600.9967837055,23716776.56838569,216602335.4941406,35679181.48332195,35531421.06884351,8206171.444827857,921944.0066855676,8274184.320922493,652352.2737136611,forecast
AUS,IDN,2026,427632823.60345364,212077330.5388132,639710154.1422669,170057498.37335825,143148720.8860172,28008229.378800705,20974717.148319874,31615929.511290636,17338977.895567738,15302931.008242512,1185819.4018568022,77191545.21034843,67922136.85657382,19244981.704890873,29470559.85910958,10325508.348711383,3372336.9446122185,4345830.803441096,204430.81112581352,forecast
AUS,JPN,2026,4533300819.868792,1486832212.503015,6020133032.371807,513028646.5794185,3276017747.996998,57475605.217012614,11893818.553730339,536608524.1903535,22335907.539263923,114723097.24470651,1217472.5473086224,122221628.43663324,1123620659.7847316,36386843.49082869,4245231.888795271,182629321.38368395,5869451.295803325,7028034.080049447,4831042.142489225,forecast
AUS,KOR,2026,2454135858.3450727,1209827605.0696077,3663963463.4146805,236460339.45379168,1945876531.2399025,149404195.96479583,22983226.15674178,79013378.97282921,1709420.603501499,17771879.535904247,916886.4176060063,120952133.82170732,967475176.1798283,12191525.885174368,36792090.68182557,61813315.31934272,3165865.3702515694,7316805.93001729,120691.8814606337,forecast
AUS,MYS,2026,426369697.5131729,399797835.4087023,826167532.9218752,64280381.46404835,227131645.29554078,79833008.43187873,5030503.415774613,1086059.3979908447,24945703.068480678,23904681.71272981,157714.72672915497,50007466.28847692,136163781.50363556,139924556.70353663,23418393.443251528,21958420.121717535,17997390.676873226,9886680.43399016,441146.2372207475,forecast
AUS,NLD,2026,177416227.85425422,306052667.7328794,483468895.58713365,78891566.40357071,25465116.507396575,3939918.0665108087,3759012.7842195723,13073029.887687776,9529323.086103143,40115785.69672807,2642475.422037542,70437754.28405467,78103867.64610593,69335486.54745834,8801042.101024559,13248743.664927416,8800198.65863756,47751272.9595774,9574301.871093499,forecast
