Year,Reporter,Partner,Sector Group,Export Value,Import Value,Total Trade Volume
2015,Australia,Australia,Sector_1,3130.77,3231.5199999999995,6362.29
2015,Australia,Australia,Sector_2,2942.95,3067.69,6010.64
2015,Australia,Australia,Sector_3,3532.87,3311.91,6844.78
2015,Australia,Australia,Sector_4,3132.17,2823.84,5956.01
2015,Australia,Australia,Sector_5,2878.24,2898.3199999999997,5776.56
2015,Australia,Australia,Sector_6,2647.9900000000002,2535.54,5183.53
2015,Australia,Australia,Sector_7,2863.3100000000004,2730.55,5593.860000000001
2015,Australia,Australia,Sector_8,2835.96,3116.99,5952.95
2015,Australia,France,Sector_1,3259.8,2688.9700000000003,5948.77
2015,Australia,France,Sector_2,2832.82,3392.64,6225.46
2015,Australia,France,Sector_3,3731.68,3554.8100000000004,7286.49
2015,Australia,France,Sector_4,3092.6099999999997,3032.88,6125.49
2015,Australia,France,Sector_5,3275.24,3010.7200000000003,6285.96
2015,Australia,France,Sector_6,2822.12,2765.92,5588.04
2015,Australia,France,Sector_7,3004.06,3053.8500000000004,6057.91
2015,Australia,France,Sector_8,3174.85,3401.2300000000005,6576.08
2015,Australia,Germany,Sector_1,3109.8900000000003,3210.63,6320.52
2015,Australia,Germany,Sector_2,2882.01,2575.57,5457.58
2015,Australia,Germany,Sector_3,2787.25,2838.1,5625.35
2015,Australia,Germany,Sector_4,3176.21,3029.02,6205.23
2015,Australia,Germany,Sector_5,3263.25,3057.1800000000003,6320.43
2015,Australia,Germany,Sector_6,2788.71,2532.06,5320.77
2015,Australia,Germany,Sector_7,3264.08,2631.47,5895.55
2015,Australia,Germany,Sector_8,2624.02,2681.41,5305.43
2015,Australia,"Hong Kong, China",Sector_1,3149.44,3182.38,6331.82
2015,Australia,"Hong Kong, China",Sector_2,2610.21,2444.1800000000003,5054.389999999999
2015,Australia,"Hong Kong, China",Sector_3,2523.25,2951.2,5474.45
2015,Australia,"Hong Kong, China",Sector_4,3088.61,3160.0,6248.610000000001
2015,Australia,"Hong Kong, China",Sector_5,2976.7200000000003,2920.04,5896.76
2015,Australia,"Hong Kong, China",Sector_6,2603.5699999999997,2738.3599999999997,5341.93
2015,Australia,"Hong Kong, China",Sector_7,3103.08,3377.71,6480.79
2015,Australia,"Hong Kong, China",Sector_8,3422.83,3556.99,6979.82
2015,Australia,India,Sector_1,2725.04,2748.3199999999997,5473.360000000001
2015,Australia,India,Sector_2,3586.7599999999998,3336.96,6923.72
2015,Australia,India,Sector_3,2396.8199999999997,2572.4300000000003,4969.25
2015,Australia,India,Sector_4,2551.54,2603.07,5154.61
2015,Australia,India,Sector_5,2741.11,3049.93,5791.04
2015,Australia,India,Sector_6,2999.33,3088.21,6087.54
2015,Australia,India,Sector_7,2717.77,2773.52,5491.29
2015,Australia,India,Sector_8,3168.1,3174.5,6342.6
2015,Australia,Indonesia,Sector_1,2840.78,3145.95,5986.73
2015,Australia,Indonesia,Sector_2,3274.9700000000003,3123.88,6398.85
2015,Australia,Indonesia,Sector_3,3400.09,3421.02,6821.110000000001
2015,Australia,Indonesia,Sector_4,3471.12,3192.06,6663.18
2015,Australia,Indonesia,Sector_5,2544.75,2980.12,5524.87
2015,Australia,Indonesia,Sector_6,2613.87,2289.66,4903.530000000001
2015,Australia,Indonesia,Sector_7,2999.02,3195.42,6194.4400000000005
2015,Australia,Indonesia,Sector_8,2851.51,2506.49,5358.0
2015,Australia,Japan,Sector_1,3517.97,3219.2,6737.17
2015,Australia,Japan,Sector_2,3177.46,3427.2,6604.66
2015,Australia,Japan,Sector_3,3122.63,3055.59,6178.22
2015,Australia,Japan,Sector_4,3248.47,3612.5200000000004,6860.99
2015,Australia,Japan,Sector_5,3541.0499999999997,2956.7,6497.75
2015,Australia,Japan,Sector_6,3178.8,3023.55,6202.35
2015,Australia,Japan,Sector_7,2459.89,2049.89,4509.78
2015,Australia,Japan,Sector_8,2557.85,2704.7799999999997,5262.63
2015,Australia,"Korea, Rep.",Sector_1,3164.52,3327.19,6491.71
2015,Australia,"Korea, Rep.",Sector_2,2549.33,2466.37,5015.7
2015,Australia,"Korea, Rep.",Sector_3,3024.49,2983.8599999999997,6008.35
2015,Australia,"Korea, Rep.",Sector_4,3276.76,3065.09,6341.849999999999
