country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B
AUS,CHN,2023,101050384383.99997,56474783743.99999,157525168127.99997,6017573106.243447,49646451558.80344,19788088443.992275,7506538971.048016,6599394928.968084,8434569090.48018,2943125076.224419,114643208.24011336,3170674386.847742,29421407251.344807,10444861471.692877,5490450918.377839,3153514477.5646315,2924192815.4424973,1525028944.2435937,344653478.4860085
AUS,FRA,2023,1221217536.0,2932251648.0,4153469184.0,234345379.35556817,234777624.72235045,128476574.44269615,56923353.152757615,267268824.93348777,27984914.829668444,260233949.48550457,11206915.07796662,681434650.7614172,695936604.2699167,295234526.10012996,134113996.02839752,524383843.04646987,58282591.62471232,520844847.4366317,22020588.7323245
AUS,DEU,2023,1723195008.0,9435426815.999998,11158621823.999998,204592364.6035308,243004888.68323764,322498086.56365556,34248693.11628888,498882297.0741917,56250952.04686731,344110662.56499565,19607063.347232383,1108307840.4165745,2030322635.6345932,1556678705.807129,203470392.8771297,2441697430.385329,247903926.80885485,1665851493.0682187,181194391.00217023
AUS,HKG,2023,4855284223.999999,2625764352.0,7481048575.999999,591579000.8453602,59265946.654404104,178638504.56665465,3444818358.0366364,51566544.10900875,267344727.94780675,258029416.62129912,4041725.2188300313,236743260.7608717,30601733.091926392,94877946.23853664,1627972695.2528808,48570682.83523843,362132206.3191658,185290292.4840733,39575535.017306656
AUS,IND,2023,12080331776.0,5782645247.999999,17862977024.0,777366318.9454721,7565323573.144928,855540626.5041593,1937499151.4375508,407324807.4532078,110351817.15389216,414727626.4791349,12197854.881654209,296219962.43544453,3976675520.628296,358421370.89232785,792899210.3768533,157474872.36305168,50546189.57344544,145599597.92728004,4808523.803300704
AUS,IDN,2023,5762823680.0,2345352703.9999995,8108176384.0,1618256740.2686052,1927421316.2111993,793791777.5621332,826706415.8162901,277066761.3978249,160824615.4835309,139658426.2483495,19097627.012066692,728371743.2256544,785209276.6623454,293802249.58869034,309544806.03551185,102946321.02603585,50758625.59520321,51651898.98889217,23067782.87766649
AUS,JPN,2023,43398299648.0,12531162111.999998,55929461760.0,3508046356.8479347,26995291723.40617,1687630212.488207,125011162.739343,9856197784.99416,400812853.13455176,804796384.9758931,20513169.41374176,905659317.3750972,9172426580.227535,401633349.6357305,48704970.61557576,1799315155.6875694,50756092.75409446,77893481.06445684,74773164.63993841
AUS,KOR,2023,19749003263.999996,13321468927.999994,33070472191.999992,1691774362.6723175,13696468400.24517,1300195254.852411,421050409.6668546,2215185686.622172,154202616.756198,259288150.46059808,10838382.724274902,1078534422.1188755,9767750050.670227,723206313.7261583,250520847.93306273,1322955583.6654365,70775478.95684525,106015468.58013082,1710762.3492589216
AUS,MYS,2023,5586978304.000001,8233282047.999999,13820260352.0,527992179.9416816,3420934045.7914286,876664422.6040255,138574253.973687,122489179.18742228,324087694.5981052,174132627.53578302,2103900.3678674903,842457897.6327976,4880347384.304716,1349047283.4455054,259754093.5954507,262799474.0261261,402148940.5085075,226839183.8620548,9887790.624841418
AUS,NLD,2023,2606885119.9999995,3414101504.0,6020986624.0,574805736.424668,1148453331.7412484,219551381.4793359,25674526.817079578,205832800.92760515,108388781.13491207,300758160.3613979,23420401.11375297,601932577.6464005,633703547.2733924,625512875.0556618,59497535.619550705,372752021.6693922,174306726.41969782,855823579.0664244,90572641.24948044
AUS,PHL,2023,2566053631.9999995,416759872.00000006,2982813503.9999995,1268376521.653109,483333368.7112272,288033534.677679,90544677.09522334,105195718.08350274,118519109.09916689,179225841.77860218,32824860.90148926,147394856.55932114,190828894.45824015,31498675.73620355,8560576.412263395,8088836.050142432,10317443.816809053,11322859.77632227,8747729.190698063
AUS,SGP,2023,8620906496.0,11320987648.000002,19941894144.0,795225855.4415509,5433323808.140591,315500883.96228373,1025173837.7430974,244592994.6076476,342819477.3650818,451494439.8316219,12775198.908125732,989097803.7546724,5617526669.007094,731423128.1461078,1304414829.8648994,788954654.8477209,691306243.2617215,731874065.0832745,466390254.03451073
