country,trade_type,sector,partner_country,volume,previous_volume
Germany,export,Machinery,USA,1113,1193
Germany,export,Machinery,France,3043,2866
Germany,export,Machinery,Japan,4419,4746
Germany,export,Machinery,China,4065,3773
Germany,export,Machinery,UK,1945,1828
Germany,export,Machinery,India,2012,2038
Germany,export,Machinery,Canada,1334,1286
Germany,export,Machinery,Brazil,3064,3103
Germany,export,Machinery,Australia,2906,3108
Germany,export,Machinery,South Korea,1150,1109
Germany,export,Machinery,Mexico,2583,2796
Germany,export,Machinery,Italy,4321,4304
Germany,export,Machinery,Russia,1902,1885
Germany,export,Machinery,Spain,906,990
Germany,export,Machinery,Netherlands,3549,3828
Germany,export,Machinery,Turkey,4937,5011
Germany,export,Machinery,Indonesia,544,506
Germany,export,Machinery,Saudi Arabia,979,992
Germany,export,Machinery,South Africa,4430,4625
Germany,export,Chemicals,USA,3021,3176
Germany,export,Chemicals,France,2535,2701
Germany,export,Chemicals,Japan,3878,4166
Germany,export,Chemicals,China,3129,2922
Germany,export,Chemicals,UK,3502,3854
Germany,export,Chemicals,India,3312,3402
Germany,export,Chemicals,Canada,4063,4483
Germany,export,Chemicals,Brazil,3693,3496
Germany,export,Chemicals,Australia,3954,3652
Germany,export,Chemicals,South Korea,3019,3211
Germany,export,Chemicals,Mexico,2957,2946
Germany,export,Chemicals,Italy,4457,4206
Germany,export,Chemicals,Russia,4482,4454
Germany,export,Chemicals,Spain,2364,2201
Germany,export,Chemicals,Netherlands,3267,3281
Germany,export,Chemicals,Turkey,1795,1902
Germany,export,Chemicals,Indonesia,2267,2109
Germany,export,Chemicals,Saudi Arabia,2302,2344
Germany,export,Chemicals,South Africa,2929,2829
Germany,export,Electronics,USA,2201,2432
Germany,export,Electronics,France,1416,1380
Germany,export,Electronics,Japan,2111,2117
Germany,export,Electronics,China,1166,1189
Germany,export,Electronics,UK,4402,4794
Germany,export,Electronics,India,3256,3259
Germany,export,Electronics,Canada,1509,1439
Germany,export,Electronics,Brazil,3677,4038
Germany,export,Electronics,Australia,4413,4163
Germany,export,Electronics,South Korea,740,683
Germany,export,Electronics,Mexico,1420,1424
Germany,export,Electronics,Italy,2986,2715
Germany,export,Electronics,Russia,1050,974
Germany,export,Electronics,Spain,2801,2744
Germany,export,Electronics,Netherlands,2911,2833
Germany,export,Electronics,Turkey,3034,2897
Germany,export,Electronics,Indonesia,4996,5276
Germany,export,Electronics,Saudi Arabia,2978,3087
Germany,export,Electronics,South Africa,2889,2966
